A-vitamiidna __ N __ A-vitamijnna
B-vitamiidna __ N __  B-vitamijnna
govvádus __ N __  gåvvidibme
gožžaoarri __ N __  gådtjåbåhttså
gođđu __ N __  guoddem
grafema __ N __  grafiebma
grafihkka __ N __  grafihkka
greikalaš __ N __  grehka
greikkagiella __ N __  grehkagiella
gufihtar __ N __  ganij
guhkesbearjadat __ N __  guhkesbierjjedahka
guhkesfeaskkir __ N __  gáŋŋga
guhpá __ N __  guhpa
guhttalogis __ N __  guhttalåges
guhttanuppelogis __ N __  lågenangudás
guikkut __ N __  guojkkagárek
gulahallankanála __ N __  guládallamkanálla
gulahallanoahpaheaddji __ N __  guládallamåhpadiddje
gulahallanvuohki __ N __  guládallamvuohke
gulahallan __ N __  guládallam
gulaskuddan __ N __  guláskuddam
gulloapparáhta __ N __  gulloapparáhtta
gullot __ N __  gullut
gumpe __ N __  stálppe
guoddá __ N __  bålstår
guohcahádja __ N __  guohtsa
guohtun __ N __  guohtom
guoikgáhrit __ N __  guojkkagárek
guoktelogis __ N __  guoktalåges
guoktenuppelogis __ N __  lågenanguovtes
guoktilaš __ N __  vilpástalle
guolgačalbmi __ N __  vuopptatjalmme
guollebivdin __ N __  guollim
guollebivdi __ N __  guollebivdde
guolásteaddji __ N __  guollebivdde
guorbmebiila __ N __  lásstabijlla
guossagaccet __ N __  guossagattsak
guossegirji __ N __  guossegirjje
guottetáigi __ N __  guoddemájgge
guovdi __ N __  hárjakgermaj
guovllupolitihkka __ N __  guovllopolitihkka
guovlopolitihkka __ N __  guovllopolitihkka
guovlu __ N __  dáfo
guovssahasat __ N __  guovsagis
guovssahas __ N __  guovsagis
guovssat __ N __  guovsak
guovssonásti __ N __  guovsojnásste
guovttegielalašvuohta __ N __  guovtegielakvuohta
guovttegielatvuohta __ N __  guovtegielakvuohta
guovttis __ N __  guovtes
guovttos __ N __  guovtes
guovža __ N __  biernna
guretgáma __ N __  nuvtak
gusagoalsi __ N __  gutsákgoalsse
gusagáma __ N __  gáma
gusavuodja __ N __  vuodja
gussagoalsi __ N __  gutsákgoalsse
gutna __ N __  gudna
guvllolaš __ N __  guovlulasj
guđahas __ N __  gudádis
guđas __ N __  gudás
gužža __ N __  gådtjå
gáddebuvvet __ N __  skillidahka
gáddeguorra __ N __  gáttevuolle
gáddeviroš __ N __  skillidahka
gáfeboddu __ N __  káffabåddå
gáfebánno __ N __  káffagiebbme
gáfegievdni __ N __  káffagiebbme
gáfegohppu __ N __  káffagåhppå
gáfegoiku __ N __  káffagåjkko
gáfeseahkka __ N __  káffavuossa
gáffal __ N __  gáffil
gáffeboddu __ N __  káffabåddå
gáffegievdni __ N __  káffagiebbme
gáffegohppu __ N __  káffagåhppå
gáffegoiku __ N __  káffagåjkko
gáffe __ N __  káffa
gáhkkenbulvvar __ N __  gáhkkimpulvar
gáhkkor __ N __  gurtte
gáhtta __ N __  gahttun
gáhttu __ N __  dæhkko
gáhtus __ N __  tjiehká
gáiddusoahpaheapmi __ N __  gájdosåhpadibme
gáiddusoahpahus __ N __  gájdosåhpadibme
gáidi __ N __  tjåhte
gákkan __ N __  gágga
gákti __ N __  gáppte
gálga __ N __  tjehpudahka
gálggan __ N __  rájdam
gálli __ N __  bákte
gálvacaggi __ N __  ságge
gálvasággi __ N __  návlle
gálvobiila __ N __  gálvvobijlla
gálvofanas __ N __  gálvvovanntsa
gámas __ N __  gámas
gámavuođđu __ N __  gámavuodo
gáranas __ N __  garjjá
gárggogoalsi __ N __  guorgojgoalsse
gárjilgiella __ N __  gárjjelgiella
gárrenmirkodikšu __ N __  gárevsælggasujtto
gárrenmirkogeavaheapmi __ N __  gárevsælggaiehpeadno
gárrenmirko __ N __  gárevsælgga
gárrenmirku __ N __  gárevsælgga
gártá __ N __  kártta
gáržžesvuohta __ N __  gártjesvuohta
gávccilogis __ N __  gáktsalåges
gávccinuppelogis __ N __  lågenangávtses
gávccis __ N __  gávtses
gávnnus __ N __  gávnos
gávpi __ N __  stáda
gávpot __ N __  stáda
gávvilisvuohta __ N __  gávvelisvuohta
habilitehta __ N __  habilitiehtta
habitualitehta __ N __  habitualitiehtta
haddegoargŋun __ N __  haddelassánibme
harem __ N __  hariebma
headjabeaivi __ N __  hedjabiejvve
headjabivttas __ N __  hedjabivtas
headjaguossi __ N __  hedjaguosse
heagga __ N __  hægga
heahpat __ N __  skábmo
heahteguovddáš __ N __  hiehteguovdásj
heajat __ N __  hedja
heartamálli __ N __  ertarjupptsa
hearta __ N __  ertar
hearvásvuohta __ N __  herlukvuohta
heasta __ N __  hæssta
heasttagáma __ N __  hæsstaskuovva
heavval __ N __  hievvil
hehttehus __ N __  hieredus
hekto __ N __  hævtoj
helikopter __ N __  helikåptår
helvet __ N __  helvit
hersko __ N __  hærssko
hilsku __ N __  suohpádisrásse
hirra __ N __  givssa
hirsa __ N __  tjåsskå
historihkkár __ N __  historihkkár
hivssetbábir __ N __  hivsikpáhper
hivsset __ N __  hivsik
hoahkan __ N __  gáritjis
hoahppu __ N __  råhtto
hoavvaolmmái __ N __  gånågisdievnár
homofiila __ N __  homofijlla
honnet __ N __  mieda
horoskohpa __ N __  horoskåvppå
hotealla __ N __  hotælla
huksejupmi __ N __  tsieggim
huksenprojeakta __ N __  biggimprosjækta
hupmangiella __ N __  hållamgiella
hutkan __ N __  ådådahko
hutkáivuohta __ N __  sjuggelisvuohta
huvlu __ N __  hubllo
hušša __ N __  diertjeguddam
hábmen __ N __  hábbmim
háhkka __ N __  háhka
háikit __ N __  ruodjat
hálddašeapmi __ N __  háldadibme
háldi __ N __  ganij
hálka __ N __  álkko
hállan __ N __  hållam
hállat __ N __  hållat
hálli __ N __  hællo
hállu __ N __  ulla
hámman __ N __  hámnna
hárjehallanguovddáš __ N __  lásjmudallamguovdásj
hárjeheaddji __ N __  hárjjidalle
hárjehus __ N __  hárjjidus
hárát __ N __  rijffo
hávdna __ N __  hámnna
hávdádeapmi __ N __  hávddádibme
idea __ N __  idiedja
identitehta __ N __  identitiehtta
iešdovdu __ N __  iesjdåbddo
iešluohttámuš __ N __  iesjluohtádus
iešmearrideaddji __ N __  iesjmierrediddje
iešmearrideapmi __ N __  iesjmierredibme
iešsorbmen __ N __  iesjsårmmim
iešvuohta __ N __  iesjvuohta
ihtábeaivi __ N __  ihttásjbiejvve
illubeaivi __ N __  ávvobiejvve
illu __ N __  ávvo
immunasystema __ N __  immunsystiebma
immunitehta __ N __  immunitiehtta
indiána __ N __  indiánar
inertiálasystema __ N __  inertialsystiebma
influeansa __ N __  influænssa
informánta __ N __  informánnta
inhabilitehta __ N __  inhabilitiehtta
inkásso __ N __  inkásoj
innovatiiva __ N __  innovatijvva
inseasta __ N __  insæssta
intensitehta __ N __  intensitiehtta
internáhta __ N __  internáhtta
inuihtta __ N __  inuihtta
invaliditehta __ N __  invaliditiehtta
investeren __ N __  investierim
ipmilbalolašvuohta __ N __  jubmelbalulasjvuohta
ipmilbalolaš __ N __  jubmelbalulasj
ipmilbálvalus __ N __  jubmeldievnastus
ipmilvuohta __ N __  jubmelvuohta
ipmárdus __ N __  dádjadus
isit __ N __  boanndi
iskkadeapmi __ N __  guoradallam
iskkus __ N __  åtsålvis
israellaš __ N __  israelak
iđidaš __ N __  idedisbiebbmo
iđitbeaivi __ N __  idedisbiejvve
iđitbiebmu __ N __  idedisbiebbmo
iđitborramuš __ N __  idedisbiebbmo
iđđedisbeaivi __ N __  idedisbiejvve
jagáš __ N __  jagásj
jahkeduhát __ N __  jahketuvsán
jahkegirji __ N __  jahkegirjje
jahkečuohti __ N __  jahketjuohte
jeaggemeahkástat __ N __  jieggemægástahka
jeagil __ N __  visste
jearahallan __ N __  ságájdahttem
jearaldat __ N __  gatjálvis
jeđđehus __ N __  jaskadus
jiehtanas __ N __  ihtja
jienaheapme __ N __  jienadibme
jienastanbeaivi __ N __  jienastimbiejvve
jienasteaddji __ N __  jienastiddje
jieret __ N __  jierek
jietnagirji __ N __  jiednagirjje
joatkkaskuvla __ N __  joarkkaskåvllå
jocca __ N __  boasske
jogagiera __ N __  jåhkågiera
joganjálbmi __ N __  jåhkånjálmme
johkadearbmi __ N __  jåhkådiermme
johkagáddi __ N __  jåhkågádde
johkaráigi __ N __  jåhkårájgge
johtolat __ N __  jåhtulahka
johttičálus __ N __  jåhtotjála
johtučálus __ N __  jåhtotjála
jorbadas __ N __  jårbbådis
jorgalanbargu __ N __  jårggålimbarggo
jorgalus __ N __  jårggålibme
jorridákti __ N __  bieddaris
jorri __ N __  voaŋnna
jotkkolašvuohta __ N __  kontinuitiehtta
jugahahtti __ N __  jugádahtte
jugešvuohta __ N __  juhkalisvuohta
jugástat __ N __  jugástahka
juhkamuš __ N __  jugos
julevsápmi __ N __  julevsábme
julggaštus __ N __  tjielggidus
jumeš __ N __  juomisj
juogut __ N __  benasarre
juoiganbattle __ N __  juojggambattle
juoiggus __ N __  juojgos
juolgegávva __ N __  juolggegávva
juolgelađas __ N __  juolggeladás
juolgeláhpi __ N __  juolggevuodo
juolgesuorbma __ N __  juolggetjuvdde
juonalašvuohta __ N __  sluogasvuohta
juovlabeaivi __ N __  javllabiejvve
juovlamánnu __ N __  javllamánno
juovllat __ N __  javlla
jurasystema __ N __  jurasystiebma
jurdda __ N __  ájádus
juridihkalaš __ N __  juridihkalasj
jurista __ N __  jurissta
jurrat __ N __  jurrat
jury __ N __  juvrij
justiisadepartemeanta __ N __  justijssadepartemænnta
juvddálaš __ N __  juvdá
jáddadanbiila __ N __  jáddadimbijlla
jáhkehahttivuohta __ N __  åskåldisvuohta
jámet __ N __  jábbme
jámet __ N __  jábbmek
jándor __ N __  jándur
jápmasáhka __ N __  jábmemsáhka
jápminbeaivi __ N __  jábmembiejvve
jápmindávda __ N __  jábmemdávdda
jápminhávvi __ N __  jábmemhávve
jápmin __ N __  jábmem
jávohisvuohta __ N __  sjávodisvuohta
jávreguolli __ N __  jávrreguolle
kafea __ N __  kafiedja
kaféa __ N __  kafiedja
kajáhkka __ N __  kajáhkka
kakáo __ N __  kakávoj
kaleanddar __ N __  rijmmo
kambriumsystema __ N __  kambriumsystiebma
kampánja __ N __  kampánnja
kandidáhta __ N __  kandidáhtta
kaniidna __ N __  kanijnna
kantiidna __ N __  kantijnna
kapasiteahtta __ N __  kapasitiehtta
kapihtal __ N __  kapihtal
kapitála __ N __  kapitálla
karanteana __ N __  karantiedna
karantena __ N __  karantiedna
karbohydráhta __ N __  karbohydráhtta
karbonasystema __ N __  karbonsystiebma
kartotehka __ N __  kartotiehkka
karusealla __ N __  karusælla
katehta __ N __  katiehtta
katekehta __ N __  katekiehtta
keaisár __ N __  tjæjssár
keallár __ N __  tjieller
keŋguru __ N __  kenguvrra
kg __ N __  kg
kievkkan __ N __  gievkan
kilo __ N __  tjijloj
kino __ N __  tjijnoj
kirku __ N __  girkko
klišea __ N __  klisjiedja
km __ N __  km
koarra __ N __  kåvrrå
koda __ N __  kåvddå
kodisilla __ N __  kodisilla
kolonista __ N __  kolonissta
komedia __ N __  komiedij
komediija __ N __  komiedij
komehta __ N __  komiehtta
komitea __ N __  juogos
kommentára __ N __  kommentárra
kommuna __ N __  kommuvnna
kommuvdna __ N __  kommuvnna
kompássa __ N __  kompássa
konfirmašuvdnabeaivi __ N __  skallobiejvve
konfirmánta __ N __  konfirmánnta
konfirmánta __ N __  skallolåhkke
konflikta __ N __  konflikta
kongreassa __ N __  kongræssa
konsearta __ N __  konsærtta
konsultašuvdnaprosedyra __ N __  konsultasjåvnnåprosedijrra
konteaksta __ N __  kontæksta
kontinuitehta __ N __  kontinuitiehtta
konto __ N __  kåntåj
kontrolla __ N __  kontrållå
koordináhtasystema __ N __  koordináhttasystiebma
koordináhta __ N __  koordináhtta
koordináhtor __ N __  koordináhtor
koronadávda __ N __  koronadávdda
koronavirus __ N __  koronavirus
korona __ N __  korona
kreativitehta __ N __  kreativitiehtta
kretalaš __ N __  kretak
kriminaliteahtta __ N __  kriminalitiehtta
kristtalaš __ N __  risstalasj
krittsystema __ N __  krittsystiebma
kruvdna __ N __  kruvnno
kr __ N __  kr
kránnjá __ N __  ráddná
kulturantropologiija __ N __  kultuvrraantropologijja
kulturdepartemeanta __ N __  kultuvrradepartemænnta
kulturidentiteahtta __ N __  kultuvrraidentitiehtta
kulturimperialisma __ N __  kultuvrraimperialissma
kulturinstitušuvdna __ N __  kultuvrrainstitusjåvnnå
kulturmuitosuodjaleapmi __ N __  kultuvrramujttosuoddjim
kulturorganisašuvdna __ N __  kultuvrraorganisasjåvnnå
kulturradikalisma __ N __  kultuvrraradikalissma
kultursuodjaleapmi __ N __  kultuvrrasuodjalibme
kultuvrralaš __ N __  kultuvralasj
kunddar __ N __  oasste
kuvlačuokkis __ N __  tjuokkes
kvadráhta __ N __  kvadráhtta
kvaliteahtta __ N __  kvalitiehtta
kvartearasystema __ N __  kvartærsystiebma
kyrenelaš __ N __  kyrenek
káfebánno __ N __  káffagiebbme
káfegievdni __ N __  káffagiebbme
káfeseahkka __ N __  káffavuossa
káffe __ N __  káffa
kálla __ N __  kålla
kámmár __ N __  kámmar
kásusgeažus __ N __  kásusgætjos
ladju __ N __  slidja
lagamus __ N __  lagámusá
lagamuš __ N __  lagámusá
lagasbiras __ N __  lahkabirás
lagasvuohta __ N __  lahkavuohta
lagas __ N __  lagos
lagašrádio __ N __  lagosradio
lagašvuohta __ N __  lagosvuohta
lageš __ N __  lagim
lahkonanvuohki __ N __  lahkanimvuohke
lahkosat __ N __  lahkabiros
lahttuvuohta __ N __  sebrulasjvuohta
lahttu __ N __  sebrulasj
lahttu __ N __  ájras
lassioahppu __ N __  duoddeåhpadus
latiidna __ N __  latijnna
lavdnjegoahti __ N __  gábmá
lađđi __ N __  næhko
leahkin __ N __  vágge
leahttu __ N __  valludahka
leaika __ N __  boagos
leaksu __ N __  lækso
leaktu __ N __  fártta
leanastivra __ N __  lednastivrra
leansmánni __ N __  lænsska
leaskalohku __ N __  belaktálla
leaska __ N __  árbbásj
leatna __ N __  ledna
leavgabeaivi __ N __  slávggimbiejvve
leavga __ N __  slávggá
ledjon __ N __  lædján
legitimitehta __ N __  legitimitiehtta
leksema __ N __  leksiebma
lektor __ N __  lektåvrrå
lestadianisma __ N __  læstadianissma
liehppi __ N __  sliehppi
liehppá __ N __  sliehppá
liekkusvuohta __ N __  liekkosvuohta
liemas __ N __  liebma
liepma __ N __  liebma
lieđđi __ N __  giedjek
lihkadus __ N __  lihtudis
lihkastat __ N __  labudibme
lihkkan __ N __  labudibme
lihkku __ N __  vuorbbe
lihkohisvuohta __ N __  vuorrádisvuohta
lihkuhisvuohta __ N __  vuorbedisvuohta
lihká __ N __  ávdda
lihttar __ N __  lihtar
lihtter __ N __  lihtar
liigečiekči __ N __  lijggetjiektje
liktenbeavdi __ N __  sæjggombievdde
liktenruovdi __ N __  sæjggomruovdde
likviditehta __ N __  likviditiehtta
linjá __ N __  linnja
linnjá __ N __  linnja
lissa __ N __  råsskå
liŋka __ N __  sváldas
loabát __ N __  loabádahka
loatnasátni __ N __  luojkasbáhko
loatna __ N __  lådna
loavdda __ N __  låvda
loddebeana __ N __  låddebena
loddegirji __ N __  låddegirjje
lodden __ N __  låddim
logaldallan __ N __  lågådallam
logaldalli __ N __  lågådalle
logeš __ N __  lågek
logis __ N __  låges
logo __ N __  låvggå
logus __ N __  lågos
lohkamuš __ N __  låhkåmus
lohkangirji __ N __  låhkåmgirjje
lohkanjahki __ N __  låhkåmjahke
lohkat __ N __  javllat
lohpádus __ N __  loahpádus
lojalitehta __ N __  lojalitiehtta
lokta __ N __  låpptå
lonuhusgálvu __ N __  lånudis
lonuhusgávpi __ N __  lådnomoasestibme
lossatvuohta __ N __  masjvalisvuohta
lotnolasealáhus __ N __  tjoahkkeæládus
loški __ N __  læŋŋgá
lođá __ N __  skuffo
ludni __ N __  låddne
luhkka __ N __  njálmmefáhta
luhkkár __ N __  klåhkar
luhčadávda __ N __  slåtjos
lullinuorta __ N __  oarjjelulle
lulli __ N __  oarjjel
lunta __ N __  báhttja
luodda __ N __  luoda
luohká __ N __  klássa
luohti __ N __  juojgga
luohttámuš __ N __  luohtádus
luomi __ N __  láttak
luonddujierbmi __ N __  jiermme
luonddulihkahallan __ N __  luonndoietjájduhttem
luonddumeahcci __ N __  árjudakdajvva
luopmománnu __ N __  loahpemánno
luopmoruhta __ N __  loahpebálkká
luopmu __ N __  loahpe
luosku __ N __  bæjssko
luosti __ N __  jæbmá
lymfesystema __ N __  lymfesystiebma
lábbábiergu __ N __  lippabierggo
ládju __ N __  sládjo
láfol __ N __  láhul
lágahisvuohta __ N __  lágadisvuohta
lággá __ N __  guobmolákkes
lágut __ N __  guhpa
lágádus __ N __  ásadus
láhkadieđa __ N __  jussa
láhkageatnegahttit __ N __  láhkamierredum
láhkarievdadus __ N __  láhkarievddadibme
láhkaásahus __ N __  njuolgadustjála
láhken __ N __  láhkán
láhkki __ N __  rigge
láhtengiella __ N __  latijnagiella
láhttenvuohki __ N __  ulmutjahttem
láhtti __ N __  guolbbe
láhtu __ N __  ládo
láhčin __ N __  hiebadibme
láibevajahas __ N __  sjijvvo
láigobiila __ N __  lájggobijlla
láigoheaddji __ N __  lájggár
láirálihtti __ N __  rájrrelihtte
lákcajiekŋa __ N __  gahpajiegŋa
lámpá __ N __  lámmpo
láppis __ N __  libba
lásefaskkon __ N __  vinndekrábun
láse __ N __  glássa
lássaliidni __ N __  gardijnna
lássa __ N __  glássa
láttat __ N __  láttak
láttu __ N __  sláddo
lávdegoddi __ N __  juogos
lávet __ N __  gahpermuorjje
lávgunlatnja __ N __  lávggomladnja
lávgun __ N __  lávggom
lávgu __ N __  lávggo
lávka __ N __  vuossa
lávki __ N __  løhkka
lávllagirji __ N __  lávllomgirjje
lávlla __ N __  lávla
lávvardat __ N __  lávvodahka
lávvordat __ N __  lávvodahka
lávvu __ N __  låvdagoahte
lávži __ N __  lábttje
láđasmánnu __ N __  dievvamánno
lášmmohallan __ N __  lásjmudallam
láđđi __ N __  ruvdda
magasiidna __ N __  magasijnna
magnehta __ N __  magniehtta
maila __ N __  e-poassta
majestehta __ N __  majestiehtta
majoriteahtta __ N __  ieneplåhko
majoriteahtta __ N __  majoritiehtta
makrokonteaksta __ N __  makrokontæksta
mandáhta __ N __  mandáhtta
manomehter __ N __  manomiehtar
maori __ N __  maori
maskulinitehta __ N __  maskulinitiehtta
maŋisboahtti __ N __  giera
maŋŋebárga __ N __  dijstahka
maŋŋejuolgi __ N __  maŋŋejuolgge
maŋŋelgaskabeaivi __ N __  iehketbiejvve
meahcásteapmi __ N __  tjuohppam
meahkástat __ N __  mægástahka
meannudeapmi __ N __  giehtadallam
mearaguolli __ N __  merraguolle
mearihisvuohta __ N __  muttodisvuohta
mearkabeaivi __ N __  mærkkabiejvve
mearka __ N __  mærkka
mearkkašupmi __ N __  merkadus
mearragoaskin __ N __  merragoasskem
mearraguolli __ N __  merraguolle
mearragáddi __ N __  merragádde
mearraloddi __ N __  merralådde
mearraolmmái __ N __  merraålmåj
mearrasápmi __ N __  merrasábme
mearra __ N __  merra
meavrresgárri __ N __  goabdes
meašttir __ N __  gilbosvuojtte
meađđen __ N __  miedem
medialaš __ N __  medeak
mediatehka __ N __  mediatiehkka
medisiinnalaš __ N __  medisijnalasj
mehtersystema __ N __  metersystiebma
meieriijabuvtta __ N __  meierijjabuvta
messet __ N __  miessik
metoda __ N __  metåvddå
meängiella __ N __  meängiella
miehkki __ N __  svierdde
miehtemiella __ N __  vetsadibme
mielddus __ N __  tjuovos
miellahttu __ N __  sebrulasj
mieloahppi __ N __  guojmmeoahppe
miesenáhkki __ N __  miesenáhkke
miessemearkun __ N __  miessemærkkom
miesttarásttis __ N __  biestarástásj
miesttavizar __ N __  biestarástásj
miestta __ N __  biesta
mihcamárbeaivi __ N __  mihttsamárbiejvve
mihttobáddi __ N __  mihttimbádde
miila __ N __  mijlla
mikrokonteaksta __ N __  mikrokontæksta
mikroskohpa __ N __  mikroskåvppå
ministtar __ N __  ministar
minoriteahtta __ N __  minoritiehtta
minoriteahtta __ N __  unneplåhko
minsttar __ N __  skánnda
mirko __ N __  sælgga
miŋka __ N __  miŋŋka
miššoneara __ N __  misjonerra
miššuvdna __ N __  misjåvnnå
moalla __ N __  målla
mobiilatelefovdna __ N __  mobiltelefåvnnå
mobiila __ N __  mobijlla
modalitehta __ N __  modalitiehtta
modealla __ N __  modælla
modernitehta __ N __  modernitiehtta
mohtorgielká __ N __  muohtavuoján
mohtorsihkkel __ N __  motorsyhkal
mohtorsykkel __ N __  motorsyhkal
mohtorvuoján __ N __  motorvuoján
mohtor __ N __  motåvrrå
mokta __ N __  miella
molekyla __ N __  molekijlla
molssaeaktu __ N __  alternatijvva
molssodanlatnja __ N __  målsudimladnja
monimuš __ N __  månem
monnilássa __ N __  gadtsalássa
monoftoŋŋa __ N __  monoftoaŋŋa
mopeda __ N __  mopiehta
moraš __ N __  surggo
morfema __ N __  morfiebma
morfologalaš __ N __  morfologijjalasj
morálalaš __ N __  morálalasj
morála __ N __  morálla
muhkki __ N __  muhkko
muitalus __ N __  subtsas
muitobeaivi __ N __  mujttobiejvve
muohtagoahti __ N __  muohtatjilla
muolda __ N __  ednam
muoldu __ N __  ednam
muorjemeastu __ N __  muorjje
muorracivkkán __ N __  muorraurjjá
muođut __ N __  árudidja
muoŧŧá __ N __  muohtá
musea __ N __  dávvervuorkká
musihkkaprográmma __ N __  musihkkaprográmma
musihkkár __ N __  tjuojadiddje
muŋka __ N __  muŋŋka
myrra __ N __  mirrá
máddodat __ N __  låhko
mádjit __ N __  vaddnem
máhkan __ N __  máhkanis
máhttájeaddji __ N __  åhpadusålmåj
máhtu __ N __  máhtto
máihli __ N __  álos
máinnas __ N __  subtsas
máinnus __ N __  ilmos
máistu __ N __  rudda
máksinbeaivi __ N __  máksembiejvve
mála __ N __  mála
málesteapmi __ N __  málestibme
málle __ N __  málla
mánnodat __ N __  mánnodahka
mánnáčuolbma __ N __  åhke
mánodávda __ N __  ájggevarra
mánoheahpi __ N __  mánnodihpe
mánágoaŧŧu __ N __  skoahto
mánáheapme __ N __  mánádibme
mánáidceahkki __ N __  mánájdásse
mánáidgirji __ N __  mánájgirjje
mánáidskuvla __ N __  mánájskåvllå
márkan __ N __  márkkán
mátkeealáhus __ N __  mannoæládus
mátketelefovdna __ N __  mobiltelefåvnnå
mátki __ N __  manno
mátkkálaš __ N __  manne
máttabiegga __ N __  oarjádakbiegga
mátta __ N __  oarjjel
máŋggaidlohku __ N __  moattelåhko
máđidja __ N __  láhtto
namahus __ N __  nammadus
nammabeaivi __ N __  nammabiejvve
nasaretlaš __ N __  nasaretak
nationalista __ N __  nasjonalissta
nationalitehta __ N __  nasjonalitiehtta
nationálabeaivi __ N __  nasjonalbiejvve
navdámuš __ N __  árvustallam
našuvnnalaš __ N __  nasjåvnålasj
neahttalohkki __ N __  næhttalågån
neahttasiidu __ N __  næhttabielle
neahtta __ N __  næhtta
nearva __ N __  nærvva
neavttár __ N __  oavdástalle
nettobeaktu __ N __  nettovájkkudus
nieida __ N __  næjttso
niitocivkkán __ N __  urjjá
niitu __ N __  sládjogiedde
nikkeleksema __ N __  nikkeleksiebma
nisoláibi __ N __  væjttalájbbe
nisut __ N __  væjtta
nisu __ N __  nissun
njallat __ N __  njallat
njealječiegahas __ N __  nieljetjiegak
njealječiegat __ N __  nieljetjiegak
njealjis __ N __  nieljes
njealjit __ N __  nieljek
njealjádas __ N __  neljudahka
njealljelogis __ N __  nielljalåges
njirran __ N __  njirram
njiččehas __ N __  njammelij
njiŋŋelas __ N __  niŋŋelis
njiŋŋálas __ N __  niŋŋelis
njuikunbáddi __ N __  tjællombádde
njukčamánnu __ N __  snjuktjamánno
njunni __ N __  njunnje
njunuš __ N __  njunnjusj
njunuščiekči __ N __  njunjojtjiektje
njuolggadoarjja __ N __  njuolggadoarjja
njuolggobálggis __ N __  njuolggaluodda
njuolggodoarjja __ N __  njuolggadoarjja
njuolggosátta __ N __  njuolggasátta
njuorjjonáhkki __ N __  nuorjonáhkke
njuorjju __ N __  nuorjjo
njuorju __ N __  nuorjjo
njuovahat __ N __  njuovadahka
njuovčča __ N __  njuovtjav
njurggonas __ N __  snjurgun
njurggu __ N __  njurgoj
njálmmálaš __ N __  njálmálasj
noaidevuohta __ N __  noajddudahka
noavki __ N __  dubmanjamán
noađđi __ N __  noade
norbma __ N __  noarmma
norgalaš __ N __  dáro
norgalaš __ N __  dárro
normeren __ N __  normierim
notáhta __ N __  tjálos
novealla __ N __  novælla
nođđu __ N __  nådo
nubbijođiheaddji __ N __  nubbejådediddje
nuoraidskuvla __ N __  nuorajskåvllå
nuortalašgiella __ N __  lullesámegiella
nuorvu __ N __  snuobas
nuorvu __ N __  snuohpa
nuppástus __ N __  rievddadibme
náhkkeboagán __ N __  sassneavve
náitin __ N __  vállda
náittosbeaivi __ N __  válldabiejvve
náittosgovva __ N __  válldagåvvå
náittoslihttu __ N __  gállasjvuohta
náittus __ N __  vállda
nákca __ N __  fábmo
nákkosgirji __ N __  dåktårgrádabarggo
nállevealaheapmi __ N __  nállenuppástibme
nástereabbá __ N __  nássteráppes
návet __ N __  fiekse
návrraš __ N __  návraj
oaffar __ N __  værro
oaggun __ N __  oaggom
oahpaheaddji __ N __  skåvlik
oahpaheaiskuvla __ N __  åhpadiddjeskåvllå
oahppanstrategiija __ N __  oahppamstratesjijja
oahppogirji __ N __  oahppogirjje
oahppoláhka __ N __  åhpadusláhka
oahppoásahus __ N __  åhpadusinstitusjåvnnå
oahppu __ N __  oahppo
oainnus __ N __  vuojnos
oainnáhus __ N __  bárudis
oaivebávččas __ N __  oajvveluottudahka
oaivil __ N __  vuojnno
oaivil __ N __  árvvalus
oaivvuloš __ N __  guoddá
oaivámuš __ N __  oajvemus
oambealle __ N __  oarbbenbielle
oapmahaš __ N __  lagámusá
oapmedállu __ N __  båndorsijdda
oappážagat __ N __  oappásj
oarpmealle __ N __  oarbbenbielle
oasseváldi __ N __  oassálasste
oasálaš __ N __  oasálasj
objeakta __ N __  objækta
ofelaš __ N __  oahpestiddje
ohcamuš __ N __  åhtsåmus
ohcan __ N __  åhtsåmus
oksygena __ N __  oksygiedna
oktasašopmodat __ N __  aktisasjåbmudahka
oktavuohta __ N __  aktijvuohta
olbmobárdni __ N __  almatjabárnne
olgguldas __ N __  ålgoldis
olgohivsset __ N __  ålggohivsik
olgoriikalaš __ N __  ålggorijkalasj
olgoriikkadepartemeanta __ N __  ålggorijkadepartemænnta
olgoriikkapolitihkka __ N __  ålggorijkapolitihkka
oligarkiija __ N __  oligarkijja
olju __ N __  oalljo
ollesáigi __ N __  ållesájgge
ollesšattot __ N __  ållessjattuk
olmmáivuohta __ N __  ráddnávuohta
olámuddu __ N __  jåksåmmierre
omman __ N __  vuodná
opmodat __ N __  åbmudahka
oppalašárvosátni __ N __  åbbålasjkaraktierra
ordarádji __ N __  årddå
originalitehta __ N __  originalitiehtta
originála __ N __  originálla
orrunlatnja __ N __  årojladnja
orrun __ N __  årrom
ortnet __ N __  årnik
ortográfalaš __ N __  ortografijjalasj
ossodat __ N __  åssudahka
ostu __ N __  bárkko
ovccilogis __ N __  aktselåges
ovccinuppelogis __ N __  lågenanavtses
ovccis __ N __  avtses
ovdaannuitehta __ N __  åvddåannuitiehtta
ovdagáddu __ N __  gáddo
ovdajuolgi __ N __  åvddåjuolgge
ovdaloavdda __ N __  åvddågåbtjås
ovdamunni __ N __  ávkke
ovdanahttinfoanda __ N __  åvddånahttemfoannda
ovdanbuktin __ N __  åvddånbuktem
ovdaolmmoš __ N __  njunnjusj
ovdasiidu __ N __  åvddåbielle
ovdaskuvla __ N __  åvddåskåvllå
