rišša#gabba	rissja#gabba
bargo#oktavuohta	barggo#åktåvuohta
dihtor#oktavuohta	dihtur#åktåvuohta
šiehtadus#oktavuohta	sjiehtadus#åktåvuohta
ealáhus#oktavuohta	æláhus#åktåvuohta
eami#álbmot#oktavuohta	ieme#álmmut#åktåvuohta
silba#ruhta	silbba#ruhta
reaida#ruhta	riejdda#ruhta
foanda#ruhta	foandda#ruhta
guovtte#gielalašvuođa#ruhta	guovte#gielalasjvuoda#ruhta
barggohisvuođa#ruhta	barguhisvuoda#ruhta
bargguhisvuođa#ruhta	barguhisvuoda#ruhta
guovtte#gielatvuođa#ruhta	guovte#gielatvuoda#ruhta
doarjja#ruhta	doarja#ruhta
doaibma#ruhta	doajmma#ruhta
prošeakta#ruhta	prosjækta#ruhta
reasta#ruhta	riessta#ruhta
boarrásiid#ruhta	boarrásijd#ruhta
liige#ruhta	lijgge#ruhta
fitno#vihke#ruhta	fidno#vihke#ruhta
veahkke#ruhta	viehkke#ruhta
mearre#ruhta	mierre#ruhta
lassi#ruhta	lasse#ruhta
barggahan#ruhta	bargahan#ruhta
bargui#máhcahan#ruhta	bargguj#máhtsahan#ruhta
geavahan#ruhta	gievahan#ruhta
árvvoštallan#ruhta	árvusjtallan#ruhta
speallan#ruhta	spiellan#ruhta
mánná#oažžun#ruhta	mánná#oadtjun#ruhta
luopmo#ruhta	luobmo#ruhta
kultur#ruhta	kultur#ruhta
šiehtadus#ruhta	sjiehtadus#ruhta
dutkiid#rekruhta	dutkijd#rekruhta
ceakko#symptohta	tsiekko#symptuhta
veahkke#áhta	viehkke#áhta
reaida#njoarro#áhta	riejdda#njoarro#áhta
dássen#mandáhta	dássen#manddáhta
álgo#mandáhta	álggo#manddáhta
dievadas#mandáhta	dievadas#manddáhta
rávdnje#aggregáhta	rávnnje#aggregáhta
sáme#guovllo#plakáhta	sáme#guovlo#plakáhta
sámi#guovllo#plakáhta	sáme#guovlo#plakáhta
sáme#guovllu#plakáhta	sáme#guovlo#plakáhta
sámi#guovllu#plakáhta	sáme#guovlo#plakáhta
stáhta#advokáhta	stáhta#advukáhta
politi#advokáhta	pålete#advukáhta
ráđđehus#advokáhta	ráddehus#advukáhta
stáhta#internáhta	stáhta#intternáhta
čitna#hydráhta	tjidna#hydráhta
karbo#hydráhta	karbbo#hydráhta
duopmo#referáhta	duobmo#referáhta
govdodat#gráhta	gåvddudat#gráhta
sosi^al#demo^kráhta	såse^al#demo^kráhta
našonal#stáhta	nasjunal#stáhta
bures#birgen#stáhta	bures#birggen#stáhta
gulaskuddan#notáhta	guláskuddan#nåtåhta
áššáskuhttin#heaitta	ássjáskuhttin#hiejta
bargo#heaitta	barggo#hiejta
buksa#hiitta	buksa#hijta
njoammel#hiitta	njoammel#hijta
oalge#luoitta	oalgge#luojta
čáhce#luoitta	tjáhtse#luojta
vearjo#luoitta	vierjjo#luojta
fiilo#gušta	fijlo#gussjta
ruonas#gušta	ruonas#gussjta
beaive#báitta	biejvve#bájta
dola#báitta	dålå#bájta
gaska#láitta	gasska#lájta
manin#láitta	manen#lájta
monin#láitta	månen#lájta
vuođđo#láitta	vuoddo#lájta
oarbbes#láitta	oarbes#lájta
symbola#effeakta	symbbula#effeakta
pronomen#subjeakta	prånumen#subjeakta
gái#vuon#dialeakta	gáj#vuon#dialeakta
gátnes#lakta	gádnes#lakta
njeahcet#jiekta	njiehtset#jiekta
alit#kreakta	alet#kriekta
boazo#doallo#distrikta	boatso#doallo#distrekta
álbmot#dikta	álmmut#dikta
veahka#dukta	viehka#dukta
heagga#fákta	hiegga#fákta
alimus#fákta	alemus#fákta
giella#kontákta	giella#kånttåkta
seaibe#nalta	siejbbe#nallta
lasse#argumenta	lasse#argumænnta
badje#seršánta	badje#serssjánta
vuolle#seršánta	vuolle#serssjánta
general#leutnánta	general#leudnánta
oberst#leutnánta	åberst#leudnánta
guovddáš#konsonánta	guovdásj#kånssunánta
fokus#partisipánta	fåkus#parttesipánta
čuozáhat#partisipánta	tjuotsáhat#parttesipánta
fáddá#partisipánta	fáddá#parttesipánta
alit#reseapta	alet#reseapta
olles#suodjalus#konseapta	ålles#suodjalus#kånsseapta
juhkan#jogurta	juhkan#jågurta
gehppes#jogurta	gehppes#jågurta
šattos#jogurta	sjattus#jågurta
loahppa#raporta	loahppa#rapurta
prošeakta#raporta	prosjækta#rapurta
jahke#raporta	jahke#rapurta
árvvoštallan#raporta	árvusjtallan#rapurta
evalueren#raporta	eválueren#rapurta
boađus#raporta	boadus#rapurta
áigodat#raporta	ájggudat#rapurta
politi#atteasta	pålete#atteasta
teadja#miestta	tiedja#miesta
gealler#uksa#miestta	gieller#uksa#miesta
botnje#miestta	bådnje#miesta
niehtte#miestta	niehtte#miesta
gyvel#miestta	gyvel#miesta
beatnat#miestta	biednat#miesta
sarret#meastta	sarret#miesta
politi#jurista	pålete#juresta
ođđa#nazista	åddå#natsesta
dákte#vistta	dákte#vista
govva#deaksta	gåvvå#dieksta
fága#teaksta	fága#tieksta
láhka#teaksta	láhka#tieksta
originála#teaksta	åreginála#tieksta
preanta#teaksta	prientta#tieksta
sub#teaksta	sub#tieksta
sáme#giel#teaksta	sáme#giel#tieksta
dáro#giel#teaksta	dáro#giel#tieksta
almmuhus#teaksta	almuhus#tieksta
máinnus#teaksta	májnus#tieksta
ášše#prosa#teaksta	ássje#pråså#tieksta
ášši#prosa#teaksta	ássje#pråså#tieksta
duolba#basta	duolbba#bassta
bohcce#basta	båhttse#bassta
bivttas#basta	bivtas#bassta
lohkkadan#rieggá#basta	låhkkådan#rieggá#bassta
lássen#rieggá#basta	lássen#rieggá#bassta
vuodja#lasta	vuodja#lassta
deagga#vuodja#lasta	diegga#vuodja#lassta
vilges#vuodja#lasta	vilgges#vuodja#lassta
alit#vuodja#lasta	alet#vuodja#lassta
guovžža#lasta	guovtja#lassta
biika#lasta	bijkka#lassta
ára#lasta	ára#lassta
lieđđe#lasta	liedde#lassta
suovde#lasta	suovdde#lassta
badje#lasta	badje#lassta
beallje#lasta	biellje#lassta
bullje#lasta	bullje#lassta
doavdnje#lasta	doavnnje#lassta
vuolle#lasta	vuolle#lassta
eapme#lasta	iebme#lassta
healbme#lasta	hielmme#lassta
luome#lasta	luome#lassta
spiinne#lasta	spijne#lassta
sáhppe#lasta	sáhppe#lassta
goahte#lasta	goahte#lassta
dálve#lasta	dálvve#lassta
maŋŋe#lasta	maŋŋe#lassta
čáze#oai#lasta	tjátse#oaj#lassta
čáze#vuol#lasta	tjátse#vuol#lassta
šaddan#lasta	sjaddan#lassta
luomen#lasta	luomen#lassta
ihtin#lasta	ihten#lassta
giron#lasta	girun#lassta
fierbme#giron#lasta	fiermme#girun#lassta
šalles#giron#lasta	sjalles#girun#lassta
girdo#lasta	girddo#lassta
álgo#lasta	álggo#lassta
šilljo#lasta	sjilljo#lassta
sahko#lasta	sahko#lassta
čuro#lasta	tjuro#lassta
jorba#čuro#lasta	jårbbå#tjuro#lassta
šođba#čuro#lasta	sjårbbå#tjuro#lassta
fakŋo#lasta	fagŋo#lassta
láger#lasta	láger#lassta
iđus#lasta	idus#lassta
biras#lasta	birás#lassta
govččas#lasta	gåvtjås#lassta
govda#lasta	gåvddå#lassta
govva#lasta	gåvvå#lassta
goahte#gas#boasta	goahte#gas#boassta
bušeahta#poasta	busjeahta#poassta
bušeahtta#poasta	busjeahtta#poassta
e#poasta	e#poassta
bohcce#poasta	båhttse#poassta
váldo#poasta	válldo#poassta
áibmo#poasta	ájmmo#poassta
ivgu#heasta	ivggo#hiessta
eatno#heasta	iedno#hiessta
gálddat#heasta	gáldat#hiessta
vuolla#jeasta	vuolla#jiessta
álša#teasta	álssja#tiessta
siđe#veasta	side#viessta
válga#lista	válgga#lissta
johtti#sáme#lista	jåhtte#sáme#lissta
johtti#sámi#lista	jåhtte#sáme#lissta
áige#dávval#lista	ájgge#dávval#lissta
áige#távval#lista	ájgge#távval#lissta
konten#lista	kåntten#lissta
birra#jođaldat#lista	birra#jådåldat#lissta
bálká#lista	bálkká#lissta
diida#goansta	dijdda#goanssta
tiida#goansta	tijdda#goanssta
noaide#goansta	noajdde#goanssta
gádde#ruosta	gádde#ruossta
bátne#gusta	bádne#gussta
fiilo#gusta	fijlo#gussta
mánáid#gásta	mánájd#gássta
heahte#gásta	hiehte#gássta
mánná#gásta	mánná#gássta
alla#gealdda#másta	alla#gielda#mássta
cealkka#vástta	tsielka#vásta
beaive#ratta	biejvve#ratta
alla#deatta	alla#dietta
badje#deatta	badje#dietta
lavdnje#deatta	lavnnje#dietta
vuoste#deatta	vuosste#dietta
vuollegis#deatta	vuollegis#dietta
lassi#budjeahtta	lasse#budjeahtta
čitna#tableahtta	tjidna#tableahtta
gásse#kabineahtta	gásse#kabeneahtta
inter#tekstu^aliteahtta	intter#teksto^aleteahtta
kultur#identiteahtta	kultur#identiteahtta
ovda#skoahtta	åvddå#skoahtta
áibmo#šloahtta	ájmmo#sloahtta
čáskadan#ápparahtta	tjásskadan#ápparahtta
kássa#kredihtta	kássa#kredehtta
gálvo#kredihtta	gálvvo#kredehtta
skuvla#neahtta	skuvlla#niehtta
alit#reahtta	alet#riehtta
metro#polihtta	metro#pålehtta
ášše#meannudan#kapasitehtta	ássje#miennudan#kapásitehtta
kultur#identitehtta	kultur#identitehtta
kommeanta#satellihtta	kåmmeanta#satellihtta
láskko#asymptohtta	lásko#asymptohtta
bealle#nuohtta	bielle#nuohtta
vuođđo#nuohtta	vuoddo#nuohtta
njealjádas#nuohtta	njæljjádas#nuohtta
gávccádas#nuohtta	gávttsádas#nuohtta
olles#nuohtta	ålles#nuohtta
juovla#ruohtta	juovlla#ruohtta
ođđa#beai#ruohtta	åddå#biej#ruohtta
beassáš#ruohtta	bæssásj#ruohtta
dilli#attribuhtta	dille#attrebuhtta
maŋŋe#attribuhtta	maŋŋe#attrebuhtta
doavdnje#konfaluhtta	doavnnje#kånfåluhtta
jienastan#lihppo#konfaluhtta	jienastan#lihppo#kånfåluhtta
duodje#instituhtta	duodje#instituhtta
gálvo#rabáhtta	gálvvo#rabáhtta
hivvodat#rabáhtta	hivvudat#rabáhtta
dássen#mandáhtta	dássen#manddáhtta
álgo#mandáhtta	álggo#manddáhtta
dievadas#mandáhtta	dievadas#manddáhtta
oasttos#gáhtta	oastus#gáhtta
čoaskudan#aggregáhtta	tjoasskudan#aggregáhtta
oalga#háhtta	oalgga#háhtta
sáme#guovllu#plakáhtta	sáme#guovlo#plakáhtta
bealle#marakáhtta	bielle#marákáhtta
endiva#saláhtta	enddeva#saláhtta
ráiggas#pláhtta	rájgas#pláhtta
váikkuhan#gaska#oapme#apparáhtta	vájkuhan#gasska#oabme#apparáhtta
hálddašan#apparáhtta	háldatjan#apparáhtta
pulvvar#apparáhtta	pulvar#apparáhtta
bálvalus#apparáhtta	bálvvalus#apparáhtta
čitna#hydráhtta	tjidna#hydráhtta
duopmo#referáhtta	duobmo#referáhtta
sosiála#demo^kráhtta	sosial#demo^kráhtta
sáme#demokráhtta	sáme#demukráhtta
luonddu#reserváhtta	luondo#reserváhtta
gulaskuddan#notáhtta	guláskuddan#nåtåhtta
banan#splitta	banán#splitta
njuolggo#fløita	njuolgo#fløjtta
vuoigatvuođa#pasi^eanta	vuojggatvuoda#pase^ientta
čuoldda#vuotta	tjuolda#vuotta
njuikkuhan#vuotta	njujkuhan#vuotta
čuoldin#vuotta	tjuollden#vuotta
njuolggo#vuotta	njuolgo#vuotta
turista#barta	turesta#bartta
suovva#barta	suovva#bartta
asto#áigge#barta	assto#ájge#bartta
asto#áiggi#barta	assto#ájge#bartta
guođoheaddje#barta	guoduheaddje#bartta
guođoheaddji#barta	guoduheaddje#bartta
guođohan#barta	guoduhan#bartta
joavdo#barta	joavddo#bartta
ealáhus#barta	æláhus#bartta
identifikašuvdna#goarta	identifikasjåvnnå#goartta
guolle#goarta	guolle#goartta
girdin#goarta	girdden#goartta
vuodjin#goarta	vuodjen#goartta
oaggun#goarta	oaggun#goartta
bivdo#goarta	bivddo#goartta
vearro#goarta	vierro#goartta
registtar#goarta	regestar#goartta
áigodat#goarta	ájggudat#goartta
jahkodat#goarta	jahkudat#goartta
válga#koarta	válgga#koartta
guolástan#koarta	guolástan#koartta
vuodjen#koarta	vuodjen#koartta
vuodjin#koarta	vuodjen#koartta
sisa#máksin#koarta	sisa#máksen#koartta
čiegus#koarta	tjiegus#koartta
gávpoga#poarta	gávppuga#poartta
gávpot#poarta	gávpput#poartta
hádja#hearta	hádja#hiertta
golle#irta	gålle#irtta
davve#nuorta	davve#nuortta
davvi#nuorta	davve#nuortta
oaive#árta	oajvve#ártta
váldo#árta	válldo#ártta
má#ilmmi#gárta	má#ilme#gártta
áhpásnuvvan#gárta	áhpásnuvvan#gártta
lávdo#gárta	lávddo#gártta
láhtto#gárta	láhtto#gártta
boazo#doallo#kárta	boatso#doallo#kártta
bodne#skárta	båddne#skártta
guolga#mátta	guolgga#mátta
njuovčča#mátta	njuovtja#mátta
kontrákta#mátta	kåntråkta#mátta
lasta#mátta	lassta#mátta
juolge#mátta	juolgge#mátta
beallje#mátta	biellje#mátta
niske#mátta	nisske#mátta
bátne#mátta	bádne#mátta
sátne#mátta	sádne#mátta
oaive#mátta	oajvve#mátta
čoarve#mátta	tjoarvve#mátta
geassásan#mátta	gæssásan#mátta
čeabet#mátta	tjiebet#mátta
beahcet#mátta	biehtset#mátta
njuolggo#sátta	njuolgo#sátta
ođas#sátta	ådås#sátta
fysio#terapeuta	fysio#terápeuta
njalpa#lavtta	njalppa#lavta
ergo#terapevta	erggo#terápevta
fysio#terapevta	fysio#terápevta
suohkan#fysio#terapevta	suohkan#fysio#terápevta
sierra#buvtta	sierra#buvta
kvaliteahtta#buvtta	kvaleteahtta#buvta
doalvva#buvtta	doalva#buvta
oalge#buvtta	oalgge#buvta
mielke#buvtta	mielkke#buvta
gordne#buvtta	gårnne#buvta
mei^eri#buvtta	mej^ere#buvta
meahcce#buvtta	miehttse#buvta
háddjen#buvtta	háddjen#buvta
biergo#buvtta	bierggo#buvta
eanan#doallo#buvtta	ienan#doallo#buvta
biebmo#buvtta	biebbmo#buvta
boazo#buvtta	boatso#buvta
gužža#bava	gudtja#bava
baika#bava	bajkka#bava
gožža#bava	gådtjå#bava
jeagge#gieva	jiegge#gieva
standárda#breava	standdárda#brieva
remissa#breava	remessa#brieva
standárd#breava	standdárd#brieva
jođánis#breava	jådånis#brieva
lága#čuorvva	lága#tjuorva
miehte#čárvva	miehte#tjárva
vuoste#čárvva	vuosste#tjárva
siido#sruva	sijddo#sruva
gonagas#hoavva	gånågas#hoavva
rátno#veavva	rádno#vievva
liige#sivva	lijgge#sivva
váldo#sivva	válldo#sivva
váibmo#sivva	vájmmo#sivva
govdun#liiva	gåvddun#lijvva
meara#sáiva	miera#sájvva
mátta#balva	mátta#balvva
čáhce#balva	tjáhtse#balvva
arve#balva	arvve#balvva
baján#balva	baján#balvva
meahcce#healva	miehttse#hielvva
sohka#buolva	såhkå#buolvva
leans#mánne#bálva	liens#mánne#bálvva
leans#mánni#bálva	liens#mánne#bálvva
heastta#skuovva	hiesta#skuovva
čalbme#luovva	tjalmme#luovva
bázahas#suovva	bátsáhas#suovva
ruossa#hearva	ruossa#hiervva
jietna#bavcca#nearva	jiedna#bavttsa#niervva
dovdo#nearva	dåvddo#niervva
gullu#nearva	gullo#niervva
oaidno#nearva	oajnno#niervva
ieš#jeŋgen#skruvva	iesj#jeŋggen#skruvva
juolge#gávva	juolgge#gávva
čoamohas#gávva	tjoamuhas#gávva
báhccan#šávva	báhttsan#sjávva
herven#lávva	hervven#lávva
guovlo#lávva	guovllo#lávva
ollis#lávva	ålles#lávva
bođu#bustávva	bådo#busstávva
álgo#bustávva	álggo#busstávva
ovda#bustávva	åvddå#busstávva
geavahan#ráva	gievahan#ráva
meallun#ráva	miellun#ráva
johtolat#ráva	jåhtulat#ráva
nana#jiekŋa	nana#jiegŋa
lákca#jiekŋa	láktsa#jiegŋa
ruobbe#jiekŋa	ruobbe#jiegŋa
rievdi#jiekŋa	rievdde#jiegŋa
bodne#jiekŋa	båddne#jiegŋa
bátne#jiekŋa	bádne#jiegŋa
nannán#jiekŋa	nannán#jiegŋa
nállo#jiekŋa	nállo#jiegŋa
povla#jiekŋa	påvllå#jiegŋa
pola#jiekŋa	pålå#jiegŋa
njunne#siekŋa	njunne#siegŋa
duottar#čikŋa	duottar#tjigŋa
badje#šuokŋa	badje#sjuogŋa
álgo#šuokŋa	álggo#sjuogŋa
sis#šuokŋa	sis#sjuogŋa
náššun#vuoigŋa	nássjun#vuojŋŋa
ovttas#bargo#vuoigŋa	åvtås#barggo#vuojŋŋa
fanas#jargŋa	fanás#jarŋŋa
giđđa#sesoŋŋa	gidda#sesuŋŋa
čakča#sesoŋŋa	tjaktja#sesuŋŋa
geasse#sesoŋŋa	giesse#sesuŋŋa
dálve#sesoŋŋa	dálvve#sesuŋŋa
čuoigan#sesoŋŋa	tjuojggan#sesuŋŋa
čáhce#sláŋŋa	tjáhtse#sláŋŋa
jáddadan#šláŋŋa	jáddadan#sláŋŋa
buollin#časkadan#šláŋŋa	buollen#tjasskadan#sláŋŋa
ođđasit#čállin#njuolggadusaid	åddåsit#tjállen#njuolgadusajd
niisa#soabbi	nijssa#soabbe
geavre#soabbi	gievrre#soabbe
sáite#soabbi	sájtte#soabbe
ávil#soabbi	ável#soabbe
čuoigan#soabbi	tjuojggan#soabbe
vuodjen#soabbi	vuodjen#soabbe
ádjen#soabbi	ádjen#soabbe
gállin#soabbi	gállen#soabbe
vázzin#soabbi	vádtsen#soabbe
mihtto#soabbi	mihtto#soabbe
goaivo#soabbi	goajvvo#soabbe
juoŋas#soabbi	juoŋas#soabbe
heastta#seaibi	hiesta#siejbbe
márkan#seaibi	márkkan#siejbbe
guhkes#seaibi	guhkes#siejbbe
ráhka#niibi	ráhka#nijbbe
beavde#niibi	bievdde#nijbbe
gazirdan#niibi	gatserdan#nijbbe
ráhken#niibi	ráhken#nijbbe
liŋko#niibi	liŋkko#nijbbe
lađas#niibi	ladás#nijbbe
badje#gáibi	badje#gájbbe
vuodja#láibi	vuodja#lájbbe
rihppa#láibi	rihppa#lájbbe
suvra#láibi	suvrra#lájbbe
sikta#láibi	sikta#lájbbe
čáhce#láibi	tjáhtse#lájbbe
agi#beai#láibi	age#biej#lájbbe
niso#láibi	niso#lájbbe
áltár#láibi	álltár#lájbbe
johannes#láibi	jåhånnes#lájbbe
fanas#láibi	fanás#lájbbe
sierát#láibi	sierát#lájbbe
gohttá#láibi	gåhttå#lájbbe
rumaš#njalbi	rumasj#njalbbe
salgadan#njalbi	salggadan#njalbbe
čoaskudan#njalbi	tjoasskudan#njalbbe
goahcan#njalbi	goahtsan#njalbbe
njuorat#gálbi	njuorat#gálbbe
čoamohas#beađbi	tjoamuhas#bierbbe
eallin#vuorbi	iellen#vuorbbe
geahče#urbi	giehtje#urbbe
eapme#urbi	iebme#urbbe
dálve#urbi	dálvve#urbbe
maŋŋe#urbi	maŋŋe#urbbe
álgo#urbi	álggo#urbbe
sahko#urbi	sahko#urbbe
ihtu#urbi	ihto#urbbe
ákŋo#urbi	ágŋo#urbbe
gurgadas#urbi	gurggadas#urbbe
álás#urbi	álás#urbbe
giella#árbi	giella#árbbe
kultur#árbi	kultur#árbbe
galbma#skábe	galmma#skábe
láhka#addi	láhka#adde
loatna#addi	loadna#adde
varra#addi	varra#adde
ráđđe#addi	rádde#adde
senior#ráđđe#addi	senior#rádde#adde
bargo#addi	barggo#adde
olggos#addi	ålgus#adde
njuolgga#haddi	njuolga#hadde
goarta#haddi	goartta#hadde
guolle#haddi	guolle#hadde
vuolle#haddi	vuolle#hadde
moarse#haddi	moarsse#hadde
konsum#haddi	kånssum#hadde
vuovdin#haddi	vuovdden#hadde
oastin#haddi	oassten#hadde
biergo#haddi	bierggo#hadde
diibmo#haddi	dijmmo#hadde
netto#haddi	netto#hadde
dálá#haddi	dálá#hadde
obba#haddi	åbbå#hadde
hávga#mađđi	hávgga#madde
njunne#skoađđi	njunne#skoadde
vuoiŋŋaš#skoađđi	vuojŋasj#skoadde
váibmo#skoađđi	vájmmo#skoadde
olbmo#beale#noađđi	ålmmo#biele#noadde
vuođđo#noađđi	vuoddo#noadde
bargo#noađđi	barggo#noadde
iđđes#roađđi	iddes#roadde
eahkes#roađđi	iehkes#roadde
iđđedis#roađđi	iddedis#roadde
iđedis#roađđi	idedis#roadde
eahkedis#roađđi	iehkedis#roadde
eahket#roađđi	iehket#roadde
rista#raddi	rissta#radde
rukses#raddi	rukses#radde
málbma#gieddi	málmma#giedde
girdi#gieddi	girdde#giedde
suoidne#gieddi	suojnne#giedde
rásse#gieddi	rásse#giedde
meahcce#gieddi	miehttse#giedde
girdin#gieddi	girdden#giedde
fiila#válljen#gieddi	fijla#válljen#giedde
luonddu#gieddi	luondo#giedde
ládjo#gieddi	ládjo#giedde
oljo#gieddi	åljjo#giedde
fápmo#gieddi	fábmo#giedde
ruovtto#gieddi	ruovto#giedde
ruovttu#gieddi	ruovto#giedde
giega#lieđđi	giega#liedde
jávre#lieđđi	jávrre#liedde
náste#lieđđi	násste#liedde
beaivváš#lieđđi	bæjvásj#liedde
gierdo#lieđđi	gierddo#liedde
áhko#laggá#lieđđi	áhko#laggá#liedde
girdi#noaidi	girdde#noajdde
borri#noaidi	bårre#noajdde
bora#noaidi	bårå#noajdde
ealle#buoidi	ielle#buojdde
spiinne#buoidi	spijne#buojdde
goaste#buoidi	goasste#buojdde
maŋŋe#buoidi	maŋŋe#buojdde
borramuš#buoidi	bårråmusj#buojdde
manin#buoidi	manen#buojdde
monin#buoidi	månen#buojdde
goargŋun#buoidi	goarŋŋun#buojdde
sis#buoidi	sis#buojdde
biras#buoidi	birás#buojdde
biika#áidi	bijkka#ájdde
gaska#áidi	gasska#ájdde
ruossa#áidi	ruossa#ájdde
giehta#áidi	giehta#ájdde
rádje#áidi	rádje#ájdde
miehte#áidi	miehte#ájdde
čuoččuhan#áidi	tjuottjuhan#ájdde
njagu#áidi	njago#ájdde
njuolggo#áidi	njuolgo#ájdde
girko#áidi	girkko#ájdde
kirko#áidi	kirkko#ájdde
boazo#áidi	boatso#ájdde
liike#báidi	lijkke#bájdde
vuol#báidi	vuol#bájdde
soajahis#báidi	såjahis#bájdde
sis#báidi	sis#bájdde
stábba#sáidi	stábba#sájdde
stuorra#sáidi	stuorra#sájdde
geavlo#sáidi	gievllo#sájdde
golle#doidi	gålle#dåjdde
girdno#meandi	girnno#miendde
gáhtten#rindi	gáhtten#rindde
gáivvo#vindi	gájvo#vindde
ruvnna#sundi	ruvna#sundde
kruvnna#sundi	kruvna#sundde
sis#bándi	sis#bándde
gáma#duoddi	gáma#duodde
juolge#duoddi	juolgge#duodde
ala#guoddi	ala#guodde
nala#guoddi	nala#guodde
jietna#guoddi	jiedna#guodde
boasta#guoddi	boassta#guodde
árbe#guođđi	árbbe#guodde
noađđe#guoddi	noadde#guodde
ávke#guođđi	ávkke#guodde
dákte#guoddi	dákte#guodde
biello#guoddi	biello#guodde
vearro#guoddi	vierro#guodde
kultur#guoddi	kultur#guodde
uvja#geardi	uvjja#gierdde
eala#geardi	iela#gierdde
jietna#geardi	jiedna#gierdde
nuorra#geardi	nuorra#gierdde
gássa#geardi	gássa#gierdde
dása#geardi	dása#gierdde
badje#geardi	badje#gierdde
lavdnje#geardi	lavnnje#gierdde
jahke#geardi	jahke#gierdde
dásse#geardi	dásse#gierdde
culce#geardi	tsulttse#gierdde
dáse#geardi	dáse#gierdde
sámil#geardi	sámel#gierdde
doidásan#geardi	dåjddåsan#gierdde
bolgen#geardi	bålggen#gierdde
eallen#geardi	iellen#gierdde
eallin#geardi	iellen#gierdde
suohkun#geardi	suohkun#gierdde
šaddo#geardi	sjaddo#gierdde
duottar#šaddo#geardi	duottar#sjaddo#gierdde
vuođđo#geardi	vuoddo#gierdde
áibmo#geardi	ájmmo#gierdde
alit#geardi	alet#gierdde
vuolit#geardi	vuolet#gierdde
dolla#gierdi	dållå#gierdde
biipo#veardi	bijppo#vierdde
hárát#veardi	hárát#vierdde
smávva#girdi	smávva#girdde
cirgu#girdi	tsirggo#girdde
sáhtto#girdi	sáhtto#girdde
duhkoras#girdi	duhkuras#girdde
govddohat#girdi	gåvduhat#girdde
maŋŋe#bárdi	maŋŋe#bárdde
muorra#gárdi	muorra#gárdde
luossa#gárdi	luossa#gárdde
gilvva#gárdi	gilva#gárdde
ealliid#gárdi	iellijd#gárdde
mánaid#gárdi	mánájd#gárdde
mánáid#gárdi	mánájd#gárdde
bearaš#mánáid#gárdi	bierasj#mánájd#gárdde
bátne#gárdi	bádne#gárdde
viidne#gárdi	vijnne#gárdde
soahte#gárdi	soahte#gárdde
náhkke#šealan#gárdi	náhkke#sjielan#gárdde
šaddo#gárdi	sjaddo#gárdde
girko#gárdi	girkko#gárdde
kirko#gárdi	kirkko#gárdde
áltár#gárdi	álltár#gárdde
seahpe#bordi	siehpe#bårdde
gurut#bordi	gurut#bårdde
almmi#goavdi	alme#goavdde
assi#goavdi	asse#goavdde
njálbme#skoavdi	njálmme#skoavdde
duolba#beavdi	duolbba#bievdde
juovla#beavdi	juovlla#bievdde
digge#beavdi	digge#bievdde
oahpaheaddje#beavdi	oahpaheaddje#bievdde
čuojahan#beavdi	tjuojahan#bievdde
stere^o#beavdi	stere^o#bievdde
boallo#beavdi	boallo#bievdde
ávvu#beavdi	ávvo#bievdde
romffa#beavdi	råmffå#bievdde
ealga#bivdi	ielgga#bivdde
vuotna#bivdi	vuodna#bivdde
mearra#bivdi	mierra#bivdde
luossa#bivdi	luossa#bivdde
meara#luossa#bivdi	miera#luossa#bivdde
lusta#bivdi	lussta#bivdde
asto#áigge#bivdi	assto#ájge#bivdde
asto#áiggi#bivdi	assto#ájge#bivdde
guolle#bivdi	guolle#bivdde
guosse#guolle#bivdi	guosse#guolle#bivdde
guossi#guolle#bivdi	guosse#guolle#bivdde
olmmoš#bivdi	ålmusj#bivdde
ruovttu#dárbo#bivdi	ruovto#dárbbo#bivdde
riddo#bivdi	riddo#bivdde
ruovtto#bivdi	ruovto#bivdde
ruovttu#bivdi	ruovto#bivdde
smávva#fanas#bivdi	smávva#fanás#bivdde
rievssat#bivdi	rievsat#bivdde
dieđa#guovdi	dieda#guovdde
dearvvašvuođa#guovdi	diervasjvuoda#guovdde
skuvla#guovdi	skuvlla#guovdde
doaibma#guovdi	doajmma#guovdde
nissona#guovdi	nissuna#guovdde
turista#guovdi	turesta#guovdde
guolle#guovdi	guolle#guovdde
guorahallan#guovdi	guorahallan#guovdde
nisson#guovdi	nissun#guovdde
mirko#guovdi	mirkko#guovdde
oahppo#guovdi	oahppo#guovdde
nisu#guovdi	niso#guovdde
diehto#guovdi	diehto#guovdde
oahppo#neavvo#guovdi	oahppo#nievvo#guovdde
oahppo#neavvu#guovdi	oahppo#nievvo#guovdde
hálddahus#guovdi	háldahus#guovdde
juovka#luovdi	juovkka#luovdde
bahta#luovdi	bahta#luovdde
loagga#ruovdi	loagga#ruovdde
sriika#ruovdi	srijkka#ruovdde
gazza#ruovdi	gadtsa#ruovdde
giehta#ruovdi	giehta#ruovdde
jorba#grafihtta#ruovdi	jårbbå#grafehtta#ruovdde
bárde#ruovdi	bárdde#ruovdde
njálbme#ruovdi	njálmme#ruovdde
bátne#ruovdi	bádne#ruovdde
gumppe#ruovdi	gumpe#ruovdde
seakte#ruovdi	siekte#ruovdde
roaiste#ruovdi	roajsste#ruovdde
váffel#ruovdi	váffel#ruovdde
njoammel#ruovdi	njoammel#ruovdde
rieban#ruovdi	rieban#ruovdde
jorahan#ruovdi	jåråhan#ruovdde
