sálvi^a	sálvve^a
kon^gruensa	kån^gruenssa
linsa	linssa
prinsa	prinssa
lunsa	lunssa
dánsa	dánssa
sjánsa	sjánssa
nyánsa	nyánssa
isoglossa	isuglossa
albatrossa	albbatrossa
noarsa	noarssa
vearsa	vierssa
girsa	girssa
hirsa	hirssa
čirsa	tjirssa
bursa	burssa
gursa	gurssa
kursa	kurssa
mársa	márssa
šluvsa	sluvssa
nuvsa	nuvssa
bruvsa	bruvssa
terassa	terássa
gombássa	gåmbbåssa
gompássa	gåmppåssa
kompássa	kåmppåssa
gazza	gadtsa
pizza	pidtsa
rizza	ridtsa
cuozza	tsuodtsa
kreatsa	krietsa
čahca	tjahtsa
lahca	lahtsa
goahca	goahtsa
joahca	joahtsa
cahca	tsahtsa
vahca	vahtsa
smiehca	smiehtsa
gihca	gihtsa
rihca	rihtsa
cihca	tsihtsa
juhca	juhtsa
cuokca	tsuoktsa
jukca	juktsa
cukca	tsuktsa
lákca	láktsa
nákca	náktsa
loahcca	loahttsa
struhcca	struhttsa
fáhcca	fáhttsa
buica	bujttsa
gáica	gájttsa
nalca	nalttsa
gulca	gulttsa
fanca	fanttsa
vanca	vanttsa
garca	garttsa
fierca	fierttsa
vierca	vierttsa
kvárca	kvárttsa
javza	javttsa
sávza	sávttsa
civzza	tsivtsa
vuovzza	vuovtsa
čáza	tjátsa
psykosa	psykusa
applosa	applusa
prognosa	prågnusa
matrosa	matrusa
eksosa	eksusa
bavssa	bavsa
snuvssa	snuvsa
hypofysa	hypufysa
analysa	análysa
ikonostása	ikunostása
topasa	tåpåsa
heata	hieta
cabareta	tsabáreta
automahta	autumahta
alfabehta	alffabehta
analfabehta	análfabehta
profehta	pråfehta
dearvvuohta	diervuohta
nieidavuohta	niejddavuohta
fáŋgavuohta	fáŋggavuohta
bahčavuohta	bahtjavuohta
skálkavuohta	skálkkavuohta
gaskavuohta	gasskavuohta
gievravuohta	gievrravuohta
kievravuohta	kievrravuohta
hávrravuohta	hávravuohta
deskriptiivavuohta	deskreptijvavuohta
šlávvavuohta	slávvavuohta
čuorbivuohta	tjuorbbevuohta
noaidevuohta	noajddevuohta
buoidivuohta	buojddevuohta
verddevuohta	verdevuohta
geafivuohta	giefevuohta
geaffivuohta	gieffevuohta
árgivuohta	árggevuohta
šláddjivuohta	sláddjevuohta
lodjivuohta	lådjevuohta
valljivuohta	valljevuohta
vaššivuohta	vassjevuohta
buoššivuohta	buossjevuohta
áhččivuohta	áhttjevuohta
veahkkivuohta	viehkkevuohta
sáhkkivuohta	sáhkkevuohta
láikivuohta	lájkkevuohta
fuolkevuohta	fuolkkevuohta
álkivuohta	álkkevuohta
doavkivuohta	doavkkevuohta
baskivuohta	basskevuohta
nuoskivuohta	nuosskevuohta
ropmivuohta	råbmevuohta
jierbmivuohta	jiermmevuohta
sámivuohta	sámevuohta
eadnivuohta	ieddnevuohta
vátnivuohta	vádnevuohta
bárdnivuohta	bárnnevuohta
unnivuohta	unnevuohta
čeahppivuohta	tjiehppevuohta
vearrivuohta	vierrevuohta
sávrivuohta	sávrrevuohta
bassivuohta	bassevuohta
buohccivuohta	buohttsevuohta
uhccivuohta	uhttsevuohta
fastivuohta	fasstevuohta
searvevuohta	siervvevuohta
searvivuohta	siervvevuohta
olahahttivuohta	ålåhahttivuohta
sáhkkiivuohta	sáhkkijvuohta
gáđašvuohta	gádasjvuohta
lagašvuohta	lagasjvuohta
vuollegašvuohta	vuollegasjvuohta
asehašvuohta	asehasjvuohta
dieđalašvuohta	diedalasjvuohta
duođalašvuohta	duodalasjvuohta
čearddalašvuohta	tjierdalasjvuohta
genetihkalašvuohta	genetihkalasjvuohta
fuolalašvuohta	fuolalasjvuohta
genehtalašvuohta	genehtalasjvuohta
risttalašvuohta	ristalasjvuohta
kristtalašvuohta	kristalasjvuohta
sápmelašvuohta	sábmelasjvuohta
oktilašvuohta	åktelasjvuohta
ollislašvuohta	ålleslasjvuohta
beasatlašvuohta	biesatlasjvuohta
ustitlašvuohta	usstetlasjvuohta
álbmotlašvuohta	álmmutlasjvuohta
gelbbolašvuohta	gelbulasjvuohta
sirdolašvuohta	sirddulasjvuohta
aiddolašvuohta	ajdulasjvuohta
sirddolašvuohta	sirdulasjvuohta
luđolašvuohta	ludulasjvuohta
šigolašvuohta	sjigulasjvuohta
barggolašvuohta	bargulasjvuohta
vejolašvuohta	vejulasjvuohta
čujolašvuohta	tjujulasjvuohta
rihkolašvuohta	rihkulasjvuohta
gulolašvuohta	gululasjvuohta
almmolašvuohta	almulasjvuohta
jámolašvuohta	jámulasjvuohta
anolašvuohta	anulasjvuohta
virolašvuohta	virulasjvuohta
behtolašvuohta	behtulasjvuohta
šattolašvuohta	sjattulasjvuohta
govttolašvuohta	gåvtulasjvuohta
máŧolašvuohta	mátulasjvuohta
dorvvolašvuohta	dårvulasjvuohta
agálašvuohta	agálasjvuohta
vuogálašvuohta	vuogálasjvuohta
girjjálašvuohta	girjálasjvuohta
dilálašvuohta	dilálasjvuohta
mearálašvuohta	mærálasjvuohta
sogalašvuohta	sågålasjvuohta
dohkálašvuohta	dåhkålasjvuohta
oppalašvuohta	åppålasjvuohta
ovttalašvuohta	åvtålasjvuohta
válmmašvuohta	válmasjvuohta
sullasašvuohta	sullasasjvuohta
sadjásašvuohta	sadjásasjvuohta
dássásašvuohta	dássásasjvuohta
oktasašvuohta	åktåsasjvuohta
gierdavašvuohta	gierddavasjvuohta
duhtavašvuohta	duhtavasjvuohta
dearvvašvuohta	diervasjvuohta
jugešvuohta	jugesjvuohta
borešvuohta	båresjvuohta
várvešvuohta	várvvesjvuohta
dološvuohta	dålusjvuohta
olmmošvuohta	ålmusjvuohta
lágášvuohta	lágásjvuohta
dálášvuohta	dálásjvuohta
maŋášvuohta	maŋásjvuohta
hohppuivuohta	håhppujvuohta
girjáivuohta	girjjájvuohta
veahkkáivuohta	væhkkájvuohta
hutkáivuohta	hutkájvuohta
almmáivuohta	almájvuohta
vuovdnáivuohta	vuovnnájvuohta
borakeahttáivuohta	båråkeahttájvuohta
olmmáivuohta	ålmåjvuohta
viššalvuohta	vissjalvuohta
čieŋalvuohta	tjieŋalvuohta
suvdilvuohta	suvddelvuohta
čuoddjilvuohta	tjuoddjelvuohta
gillilvuohta	gillelvuohta
ipmilvuohta	ibmelvuohta
áicilvuohta	ájttselvuohta
johtilvuohta	jåhtelvuohta
gávvilvuohta	gávvelvuohta
eaiggáduššanvuohta	æjgádussjanvuohta
geahččalanvuohta	giehttjalanvuohta
beassanvuohta	biessanvuohta
buozanvuohta	buotsanvuohta
ráđđenvuohta	ráddenvuohta
báhkinvuohta	báhkenvuohta
jápminvuohta	jábmenvuohta
fertenvuohta	ferttenvuohta
árkkálmastinvuohta	árkálmastinvuohta
udnonvuohta	uddnunvuohta
jávkameahttunvuohta	jávkkameahttunvuohta
veadjemeahttunvuohta	viedjemeahttunvuohta
ráhkismeahttunvuohta	ráhkesmeahttunvuohta
buhtismeahttunvuohta	buhtesmeahttunvuohta
áŋgirvuohta	áŋggervuohta
meašttirvuohta	miesjtervuohta
ealjárvuohta	æljjárvuohta
borgárvuohta	bårggårvuohta
váibbasvuohta	vájbasvuohta
oskkáldasvuohta	åskåldasvuohta
geatnegasvuohta	giednegasvuohta
ávdugasvuohta	ávddugasvuohta
árbmugasvuohta	ármmugasvuohta
dávggasvuohta	dávgasvuohta
unohasvuohta	unuhasvuohta
evttohasvuohta	evtuhasvuohta
joavdelasvuohta	joavddelasvuohta
vuostelasvuohta	vuosstelasvuohta
vuostálasvuohta	vuosstálasvuohta
buozalmasvuohta	buotsalmasvuohta
mihtilmasvuohta	mihtelmasvuohta
válmmasvuohta	válmasvuohta
iehčanasvuohta	iehtjanasvuohta
divrrasvuohta	divrasvuohta
hávrrasvuohta	hávrasvuohta
láittasvuohta	lájtasvuohta
viiddisvuohta	vijdesvuohta
stirddisvuohta	stirdesvuohta
láđisvuohta	ládesvuohta
stáđisvuohta	stádesvuohta
balahkesvuohta	baláhkesvuohta
ráhkisvuohta	ráhkesvuohta
goikkisvuohta	gåjkesvuohta
čoahkkisvuohta	tjoahkkesvuohta
rikkisvuohta	rikkesvuohta
nákkisvuohta	nákkesvuohta
jaskesvuohta	jasskesvuohta
gielisvuohta	gielesvuohta
ollisvuohta	ållesvuohta
lámisvuohta	lámesvuohta
rámisvuohta	rámesvuohta
hánisvuohta	hánesvuohta
vánisvuohta	vánesvuohta
sniehpisvuohta	sniehpesvuohta
boarisvuohta	boaresvuohta
stuorisvuohta	stuoresvuohta
viissisvuohta	vijsesvuohta
bealatkeahtesvuohta	bielatkeahtesvuohta
bealátkeahtesvuohta	bælátkeahtesvuohta
sorjjakeahtesvuohta	sårjåkeahtesvuohta
váttisvuohta	váttesvuohta
oaivvesvuohta	oajvesvuohta
čuovggahisvuohta	tjuovgahisvuohta
doaimmahisvuohta	doajmahisvuohta
vuovnnahisvuohta	vuovnahisvuohta
jođihisvuohta	jådehisvuohta
vigihisvuohta	vigehisvuohta
sajihisvuohta	sajehisvuohta
bealjehisvuohta	bieljjehisvuohta
dilihisvuohta	dilehisvuohta
čalmmehisvuohta	tjalmehisvuohta
botnihisvuohta	bådnehisvuohta
skunihisvuohta	skunehisvuohta
mearehisvuohta	mierehisvuohta
mearihisvuohta	mierehisvuohta
visttehisvuohta	vistehisvuohta
dovdduhisvuohta	dåvduhisvuohta
jođuhisvuohta	jåduhisvuohta
jeaguhisvuohta	jieguhisvuohta
bargguhisvuohta	barguhisvuohta
lihkohisvuohta	lihkuhisvuohta
áimmuhisvuohta	ájmuhisvuohta
udnohisvuohta	uddnuhisvuohta
geainnohisvuohta	giejnuhisvuohta
asttuhisvuohta	astuhisvuohta
lusttuhisvuohta	lustuhisvuohta
šattohisvuohta	sjattuhisvuohta
šattuhisvuohta	sjattuhisvuohta
doaivvuhisvuohta	doajvuhisvuohta
siivvuhisvuohta	sijvuhisvuohta
dorvvuhisvuohta	dårvuhisvuohta
oktilisvuohta	åktelisvuohta
gážžárisvuohta	gádtjárisvuohta
oskkáldusvuohta	åskåldusvuohta
čiegusvuohta	tjiegusvuohta
almmusvuohta	almusvuohta
guorosvuohta	guorusvuohta
gozusvuohta	gåtsusvuohta
náittusvuohta	nájtusvuohta
luovosvuohta	luovusvuohta
lagasvuohta	lagásvuohta
birasvuohta	birásvuohta
hearvásvuohta	hærvvásvuohta
sorjjasvuohta	sårjåsvuohta
hilbatvuohta	hilbbatvuohta
vuoigatvuohta	vuojggatvuohta
vielgatvuohta	vielggatvuohta
njuolgatvuohta	njuolggatvuohta
stargatvuohta	starggatvuohta
čuovgatvuohta	tjuovggatvuohta
seavdnjatvuohta	sievnnjatvuohta
bealatvuohta	bielatvuohta
lášmatvuohta	lássjmatvuohta
eatnatvuohta	iednatvuohta
heahpatvuohta	hiehpatvuohta
šearratvuohta	sjierratvuohta
viđetvuohta	videtvuohta
vádjitvuohta	vádjetvuohta
ahkitvuohta	ahketvuohta
alitvuohta	aletvuohta
ortnetvuohta	årnetvuohta
isitvuohta	isetvuohta
dássitvuohta	dássetvuohta
ustitvuohta	usstetvuohta
bivnnutvuohta	bivnutvuohta
eaiggátvuohta	æjgátvuohta
máŋggabealátvuohta	máŋgabealátvuohta
bealátvuohta	bælátvuohta
čorgatvuohta	tjårggåtvuohta
lossatvuohta	låssåtvuohta
njáiguvuohta	njájgguvuohta
bonjuvuohta	bånjuvuohta
olluvuohta	ålluvuohta
oluvuohta	åluvuohta
gomuvuohta	gåmuvuohta
buohcuvuohta	buohtsuvuohta
aktovuohta	aktuvuohta
oktovuohta	åktuvuohta
boasttovuohta	boastuvuohta
boasttuvuohta	boastuvuohta
boastovuohta	boasstuvuohta
boastuvuohta	boasstuvuohta
lahttovuohta	lahttuvuohta
gábavuohta	gábávuohta
hearrávuohta	hærrávuohta
borakeahttávuohta	båråkeahttávuohta
sohkavuohta	såhkåvuohta
oktavuohta	åktåvuohta
sojohta	såjuhta
pilohta	piluhta
kanohta	kanuhta
mandáhta	manddáhta
kandidáhta	kanddedáhta
sulfáhta	sulffáhta
antikvariáhta	anttekvariáhta
predikáhta	predekáhta
affrikáhta	affrekáhta
advokáhta	advukáhta
plákahta	plákáhta
korreláhta	kårreláhta
unduláhta	undduláhta
konsuláhta	kånssuláhta
automáhta	autumáhta
ko^ordináhta	ko^årddenáhta
gemináhta	gemenáhta
nomináhta	nåmenáhta
internáhta	intternáhta
homeopáhta	håmeopáhta
aristo^kráhta	aresto^kráhta
lektoráhta	lekturáhta
in^spektoráhta	in^spekturáhta
endossáhta	enddussáhta
buohkkistáhta	buohkkestáhta
tomáhta	tåmåhta
notáhta	nåtåhta
moaitta	moajta
buđeita	budejta
beaitta	biejta
hiitta	hijta
šliitta	slijta
luoitta	luojta
gušta	gussjta
uštta	usjta
áitta	ájta
láitta	lájta
perfeakta	perffeakta
imperfeakta	impperfeakta
objeakta	åbjeakta
kneakta	kniekta
reakta	riekta
kreakta	kriekta
veakta	viekta
relikta	relekta
konflikta	kånflekta
distrikta	distrekta
ánsikta	ánssekta
produkta	prådukta
arte^fákta	artte^fákta
šákta	sjákta
šlákta	slákta
kontrákta	kåntråkta
kontákta	kånttåkta
nalta	nallta
skoalta	skoallta
fealta	fiellta
vealta	viellta
filta	fillta
šilta	sjillta
silta	sillta
kulta	kullta
smulta	smullta
málta	mállta
spálta	spállta

momenta	måmenta
korinta	kårenta
hy^asinta	hy^asenta
konstituenta	kånstituenta
labirinta	laberinta
kommandánta	kåmmåndánta
seršánta	serssjánta
praktikánta	praktekánta
sibilánta	sibelánta
interpellánta	intterpellánta
konfirmánta	kånfermánta
reformánta	refurmánta
informánta	infurmánta
leutnánta	leudnánta
konsonánta	kånssunánta
partisipánta	parttesipánta
kontinuánta	kånttenuánta
formánta	fårmånta
konseapta	kånsseapta
konsepta	kånssepta
konsearta	kånssearta
aborta	aburta
jogurta	jågurta
raporta	rapurta
rapporta	rappurta
rápporta	ráppurta
eksporta	ekspurta
ráporta	rápurta
inseasta	insseasta
proteasta	pråteasta
noastta	noasta
eastta	iesta
biestta	biesta
meastta	miesta
miestta	miesta
reastta	riesta
ide^alista	ide^alesta
re^alista	re^alesta
spesi^alista	spese^alesta
sosi^alista	såse^alesta
kanslista	kanslesta
stylista	stylesta
solista	sålesta
stremista	stremesta
fenno^ugrista	fenno^ugresta
jurista	juresta
turista	turesta
nasista	nasesta
rasista	rasesta
grossista	gråssesta
nazista	natsesta
statista	statesta
artista	arttesta
lingvista	lingvesta
sosio^lingvista	såsio^lingvesta
gistta	gista
evangelista	evángelista
filatelista	filátelista
alkoholista	alkkuholista
vokalista	våkålista
pessimista	pessemista
optimista	åptemista
feminista	femenista
akšunista	aksjunista
ákšunista	áksjunista
penšunista	pensjunista
kaušunista	kautjunista
kolonista	kålunista
kommunista	kåmmunista
komponista	kåmppunista
humanista	humánista
satanista	satánista
artillerista	arttellerista
terrorista	terrurista
seminárista	semenárista
gitarista	gitárista
zapatista	tsapátista
vistta	vista
aktivista	aktevista
máistta	májsta
konteaksta	kåntteaksta
deaksta	dieksta
teaksta	tieksta
guostta	guosta
kuostta	kuosta
obersta	åbersta
basta	bassta
lasta	lassta
masta	massta
boasta	boassta
poasta	poassta
deasta	diessta
feasta	fiessta
heasta	hiessta
jeasta	jiessta
jiesta	jiessta
šeasta	sjiessta
reasta	riessta
teasta	tiessta
veasta	viessta
ate^ista	ate^issta
lista	lissta
rista	rissta
vista	vissta
goansta	goanssta
koansta	koanssta
ruosta	ruossta
gusta	gussta
kusta	kussta
lusta	lussta
rusta	russta
návsta	návssta
básta	bássta
gásta	gássta
kásta	kássta
lásta	lássta
plásta	plássta
kon^trásta	kån^trássta
komposta	kåmppusta
entusiásta	enttusiásta
vástta	vásta
deatta	dietta
learretta	lierretta
interneahtta	intterneahtta
soneahtta	såneahtta
silueahtta	siloeahtta
portreahtta	pårtreahtta
botreahtta	båtreahtta
sigareahtta	sigáreahtta
pinseahtta	pinsseahtta
re^aliteahtta	re^aleteahtta
seksu^aliteahtta	sekso^aleteahtta
tekstu^aliteahtta	teksto^aleteahtta
kvaliteahtta	kvaleteahtta
validiteahtta	valediteahtta
universiteahtta	uneversiteahtta
kapasiteahtta	kapásiteahtta
relativiteahtta	relátiviteahtta
opportunisteahtta	åppurtunisteahtta
kvinteahtta	kvintteahtta
kvarteahtta	kvartteahtta
šloahtta	sloahtta
hábitahtta	hábetahtta
kredihtta	kredehtta
servi^eahtta	servve^iehtta
šleahtta	sliehtta
neahtta	niehtta
reahtta	riehtta
breahtta	briehtta
seahtta	siehtta
granihtta	granehtta
merihtta	merehtta
learrehtta	lierrehtta
fasihtta	fasehtta
bauksihtta	bauksehtta
kvarcihtta	kvarttsehtta
kvárcihtta	kvárttsehtta
kvantitehtta	kvanttetehtta
modernitehtta	mådernitehtta
inte^gritehtta	intte^gritehtta
minoritehtta	minuritehtta
kapasitehtta	kapásitehtta
kontinuitehtta	kånttenujtehtta
levihtta	levehtta
inu^ihtta	ino^ihtta
čihtta	tjihtta
krysolihtta	krysulihtta
dolomihtta	dålumihtta
dynamihtta	dynámihtta
favorihtta	favurihtta
parasihtta	parásihtta
abohtta	abuhtta
attribuhtta	attrebuhtta
boikohtta	båjkkuhtta
kalohtta	kaluhtta
gonfeluhtta	gånfeluhtta
konfeluhtta	kånfeluhtta
konfoluhtta	kånfuluhtta
konvoluhtta	kånvvuluhtta
konfaluhtta	kånfåluhtta
konvaluhtta	kånvvåluhtta
servituhtta	servvetuhtta
proselyhtta	pråselyhtta
trombocyhtta	tråmbbutsyhtta
hanse^áhtta	hansse^áhtta
kandidáhtta	kanddedáhtta
sulfáhtta	sulffáhtta
njálfáhtta	njálffáhtta
proletariáhtta	pråletariáhtta
affrikáhtta	affrekáhtta
ko^ordináhtta	ko^årddenáhtta

professoráhtta	pråfessoráhtta
preparáhtta	prepáráhtta
hábitáhtta	hábetáhtta
formáhtta	fårmåhtta
tomáhtta	tåmåhtta
šliita	slijtta
riita	rijtta
kriita	krijtta
spriita	sprijtta
guoita	guojtta
fløita	fløjtta
klieanta	klieantta
foanta	foantta
abituri^enta	abeture^entta
kvoti^enta	kvåte^entta
kli^enta	kli^entta
pasi^eanta	pase^ientta
kvoti^eanta	kvåte^ientta
leanta	lientta
reanta	rientta
finta	fintta
minta	mintta
sprinta	sprintta
vinta	vintta
bunta	buntta
lunta	luntta
bánta	bántta
liánta	liántta
bliánta	bliántta
kánta	kántta
dia^mánta	dia^mántta
pánta	pántta
ruoŧŧa	ruotta
barta	bartta
doarta	doartta
goarta	goartta
id-goarta	id-goartta
koarta	koartta
poarta	poartta
soarta	soartta
earta	iertta
bierta	biertta
hearta	hiertta
jearta	jiertta
vearta	viertta
nuorta	nuortta
urta	urtta
smurta	smurtta
árta	ártta
fárta	fártta
gárta	gártta
kárta	kártta
skárta	skártta
stárta	stártta
kvárta	kvártta
hurttiruvtta	hurteruvtta
selota	seluta
lavtta	lavta
terapevta	terápevta
buvtta	buvta
ruvtta	ruvta
skruvtta	skruvta
sruvtta	sruvta
astronávta	astrunávta
neava	nieva
breava	brieva
doaivva	doajva
seaivva	siejva
suoivva	suojva
oblikva	åblekva
gilvva	gilva
konsearva	kånssearva
sarvva	sarva
dearvva	dierva
šoavva	sjoavva
neavva	nievva
greavva	grievva
veavva	vievva
šnjivva	sjnjivva
veaiva	viejvva
greiva	grejvva
liiva	lijvva
skuoiva	skuojvva
suoiva	suojvva
sáiva	sájvva
alva	alvva
balva	balvva
goalva	goalvva
gealva	gielvva
buolva	buolvva
duolva	duolvva
álva	álvva
gálva	gálvva
sálva	sálvva
arva	arvva
sarva	sarvva
hearva	hiervva
nearva	niervva
kurva	kurvva
báđva	bárvva
hárva	hárvva
čárva	tjárvva
kárva	kárvva
šlárva	slárvva
šuvva	sjuvva
šávva	sjávva
šlávva	slávva
bustávva	busstávva
bokstávva	båkståvva
šláva	sláva
skandináva	skanddenáva
poava	påva
oktáva	åktåva
šakŋa	sjagŋa
cakŋa	tsagŋa
vakŋa	vagŋa
diekŋa	diegŋa
jiekŋa	jiegŋa
siekŋa	siegŋa
dikŋa	digŋa
čikŋa	tjigŋa
buokŋa	buogŋa
šuokŋa	sjuogŋa
ruokŋa	ruogŋa
eaŋŋa	ieŋŋa
po^eaŋŋa	po^ieŋŋa
jeaŋŋa	jieŋŋa
vikiŋŋa	vikeŋŋa
vuoigŋa	vuojŋŋa
algŋa	alŋŋa
jargŋa	jarŋŋa
šargoŋŋa	sjargguŋŋa
šárgoŋŋa	sjárgguŋŋa
baloŋŋa	baluŋŋa
balloŋŋa	balluŋŋa
tampoŋŋa	tamppuŋŋa
kupoŋŋa	kupuŋŋa
sesoŋŋa	sesuŋŋa
šláŋŋa	sláŋŋa
restauráŋŋa	resstauráŋŋa
restoráŋŋa	ressturáŋŋa
komitéa	kåmetéa
apart^heid	apárt^hejd
standard	standdard
snow^board	snåw^board
standárd	standdárd
njabbi	njabbe
soabbi	soabbe
cabbi	tsabbe
čibbi	tjibbe
roaibi	roajbbe
leaibi	liejbbe
seaibi	siejbbe
niibi	nijbbe
siibe	sijbbe
suoibi	suojbbe
skuibi	skujbbe
ruibi	rujbbe
gáibi	gájbbe
láibi	lájbbe
njalbi	njalbbe
boalbi	boalbbe
bealbi	bielbbe
bielbi	bielbbe
guolbi	guolbbe
gálbi	gálbbe
válbi	válbbe
holbi	hålbbe
rámbi	rámbbe
rombe	råmbbe
ruobbi	ruobbe
beađbi	bierbbe
vuorbi	vuorbbe
urbi	urbbe
árbi	árbbe
njárbe	njárbbe
gubbi	gubbe
čábbe	tjábbe
rábbi	rábbe
hobbi	håbbe
čeabi	tjiebe
siibbe	sijbe
stobe	ståbe
šukkulade	sjukkulade
stadi	stade
addi	adde
haddi	hadde
lađđi	ladde
mađđi	madde
oađđi	oadde
njoađđi	njoadde
skoađđi	skoadde
noađđi	noadde
roađđi	roadde
raddi	radde
duhkaraddi	duhkaradde
duhkoraddi	duhkuradde
saddi	sadde
beađđi	biedde
feaddi	fiedde
gieddi	giedde
geađđi	giedde
gieđđi	giedde
lieđđi	liedde
readdi	riedde
seađđi	siedde
veaddi	viedde
biddi	bidde
diddi	didde
noaidi	noajdde
geaidi	giejdde
sieidi	siejdde
riidi	rijdde
buoidi	buojdde
áidi	ájdde
báidi	bájdde
t-báidi	t-bájdde
gáidi	gájdde
njáide	njájdde
skáidi	skájdde
láidi	lájdde
ráidi	rájdde
sáidi	sájdde
váidi	vájdde
soandi	soandde
meandi	miendde
reandi	riendde
rindi	rindde
sundi	sundde
duoddi	duodde
guoddi	guodde
ruođđi	ruodde
dardi	dardde
soardi	soardde
geardi	gierdde
meardi	mierdde
veardi	vierdde
girdi	girdde
stirdi	stirdde
virdi	virdde
urdi	urdde
durdi	durdde
nurdi	nurdde
bárdi	bárdde
gárdi	gárdde
sárdi	sárdde
ordi	årdde
bordi	bårdde
buddi	budde
duddi	dudde
šuddi	sjudde
čuđđi	tjudde
molsašuddi	målssåtjudde
ruddi	rudde
suddi	sudde
jierástuddi	jierástudde
boavdi	boavdde
goavdi	goavdde
skoavdi	skoavdde
beavdi	bievdde
jeavdi	jievdde
njeavdi	njievdde
lievdi	lievdde
bivdi	bivdde
guovdi	guovdde
luovdi	luovdde
ruovdi	ruovdde
suovdi	suovdde
vuovdi	vuovdde
čuvdi	tjuvdde
suvdi	suvdde
dávdi	dávdde
gávdi	gávdde
hávdi	hávdde
lávdi	lávdde
návdi	návdde
rávdi	rávdde
dovdi	dåvdde
báddi	bádde
dáđđi	dádde
gáddi	gádde
láddi	ládde
láđđi	ládde
bláđđi	bládde
máddi	mádde
ráddi	rádde
ráđđi	rádde
stáđđi	stádde
bođđi	bådde
goddi	gådde
čođđi	tjådde
loddi	lådde
mođđi	mådde
soddi	sådde
sođđi	sådde
leade	liede
šaldi	sjallde
smoaldi	smoallde
dealdi	diellde
dildi	dillde
spildi	spillde
sildi	sillde
duoldi	duollde
buldi	bullde
muldi	mullde
fáldi	fállde
háldi	hállde
váldi	vállde
doldi	dållde
moldi	mållde
mástorándi	mássturánde
bondde	bånde
verdde	verde
šuhkoláde	sjuhkuláde
šukkoláde	sjukkuláde
jode	jåde
skuolfi	skuolffe
bolfi	bålffe
barfi	barffe
darfi	darffe
jarfi	jarffe
smarfi	smarffe
loarfi	loarffe
bierfi	bierffe
lurfi	lurffe
márfi	márffe
várfi	várffe
ráffi	ráffe
áfi	áfe
ráfi	ráfe
heage	hiege
baggi	bagge
faggi	fagge
jaggi	jagge
laggi	lagge
boaggi	boagge
čoaggi	tjoagge
loaggi	loagge
moaggi	moagge
soaggi	soagge
spaggi	spagge
caggi	tsagge
beaggi	biegge
deaggi	diegge
gieggi	giegge
jeaggi	jiegge
leaggi	liegge
diggi	digge
riggi	rigge
goaigi	goajgge
dieigi	diejgge
veaigi	viejgge
liigi	lijgge
juoigi	juojgge
čuoigi	tjuojgge
áigi	ájgge
dáigi	dájgge
gáigi	gájgge
láigi	lájgge
ráigi	rájgge
oalgi	oalgge
bealgi	bielgge
dealgi	dielgge
dielgi	dielgge
čielgi	tjielgge
nealgi	nielgge
sealgi	sielgge
vealgi	vielgge
šelge	sjelgge
juolgi	juolgge
dolgi	dålgge
njolgi	njålgge
smolge	smålgge
solgi	sålgge
buoggi	buogge
duoggi	duogge
guoggi	guogge
bargi	bargge
čoađgi	tjoargge
fiergi	fiergge
geargi	giergge
geađgi	giergge
heargi	hiergge
viergi	viergge
irgi	irgge
virgi	virgge
post-doc-virgi	påst-dåc-virgge
suorgi	suorgge
čurge	tjurgge
sárgi	sárgge
sáđgi	sárgge
borgi	bårgge
čorgi	tjårgge
buggi	bugge
juggi	jugge
njavge	njavgge
bivgi	bivgge
huvgi	huvgge
dávgi	dávgge
šávge	sjávgge
gaŋgi	gaŋgge
njaŋgi	njaŋgge
doaŋgi	doaŋgge
heŋge	heŋgge
deaŋgi	dieŋgge
leŋge	leŋgge
njáŋgi	njáŋgge
goŋge	gåŋgge
roŋge	råŋgge
ággi	ágge
bággi	bágge
dággi	dágge
fággi	fágge
gággi	gágge
nággi	nágge
rággi	rágge
sággi	ságge
vággi	vágge
boggi	bågge
doggi	dågge
smoggi	smågge
roggi	rågge
soggi	sågge
seargge	sierge
prog.suorgi	pråg.suorge
boahi	boahe
rahi	rahe
geahi	giehe
bihi	bihe
aji	aje
badji	badje
máđeadji	mádeadje
soadji	soadje
sadji	sadje
juogadeaddji	juogadeaddje
iskkadeaddji	iskadeaddje
časkadeaddji	tjasskadeaddje
guoradeaddji	guoradeaddje
immuneastadeaddji	immuneastadeaddje
buvttadeaddji	buvtadeaddje
lágideaddji	lágedeaddje
gearjideaddji	gierjjedeaddje
bilkideaddji	bilkkedeaddje
sárdnideaddji	sárnnedeaddje
sivdnideaddji	sivnnedeaddje
doarrideaddji	doarredeaddje
fievrredeaddji	fievredeaddje
uhcideaddji	uhtsedeaddje
goasttedeaddji	goastedeaddje
goasttideaddji	goastedeaddje
koasttedeaddji	koastedeaddje
koasttideaddji	koastedeaddje
vástideaddji	vásstedeaddje
šloavaideaddji	slåvajdeaddje
oaivvildeaddji	oajveldeaddje
buđaldeaddji	budáldeaddje
áittardeaddji	ájtardeaddje
geardudeaddji	gierddudeaddje
nealgudeaddji	nielggudeaddje
dálkkodeaddji	dálkudeaddje
bagadeaddji	bagádeaddje
eaiggádeaddji	æjgádeaddje
gažadeaddji	gatjádeaddje
boradeaddji	bårådeaddje
čuoiggaheaddji	tjuojgaheaddje
barggaheaddji	bargaheaddje
čuojaheaddji	tjuojaheaddje
fuolaheaddji	fuolaheaddje
doaimmaheaddji	doajmaheaddje
duolmmaheaddji	duolmaheaddje
oahpaheaddji	oahpaheaddje
