                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
guhkkit	guhkket
hiđuidháđuid	hidujdhádujd
hiljit	hiljjet
hiljážii	hiljjátjij
hiljážit	hiljjátjet
hiluidháluid	hilujdhálujd
hiluid	hilujd
harbmat	harmmat
harbmadit	harmmadet
hirbmat	hirmmat
hirbmadit	hirmmadet
hirbmosit	hirmmuset
hirpmasit	hirmaset
hirril	hirrel
hoahpohoahpus	hoahpuhoahpus
hohkkái	håhkkåj
huhttagassii	huhttagassij
hui	huj
huiven-hiváste	hujvven-hiváste
hyrbmat	hyrmmat
háhccut	háhttsut
háhttásii	háhttásij
háhttásis	háhttáses
hájilassii	hájelassij
hálga	hálgga
hálooivviid	háloojvvijd
hálssil	hálsel
háltái	hálltáj
hálva	hálvva
háŋkalagaid	háŋkkalagajd
hárččil	hártjel
hárčut	hárttjut
hárjjil	hárjel
hárril	hárrel
hárvelávkkiid	hárvvelávkkijd
hávil	hável
hávskit	hávssket
háválassii	háválassij
hávális	háváles
iđđedis	iddedes
iđđes	iddes
iđedassii	idedassij
iđedis	idedes
iđis	ides
iđitbealli	idetbealle
idjaguovdil	idjaguovdel
iehčanassii	iehtjanassij
iešalddes	ietjalddes
iešalddis	ietjalddes
iešalddiset	ietjalddiset
iešalddán	ietjalddán
iešalddát	ietjalddát
iešdáhtos	iesjdáhtos
iešdáhtus	iesjdáhtus
iešgieđal	iesjgiedal
iešguđetládje	iesjgudetládje
iešguđetláhkai	iesjgudetláhkaj
iešheanalis	iesjheanales
iešheanálaččat	iesjheanálattjat
iešoaivvestanatis	ietjoajvvestanates
iešokto	ietjukto
iežáládje	ietjáládje
iežasláhkái	ietjasláhkáj
iežasláhkai	ietjasláhkaj
ihcalassii	ihtsalassij
ihcalis	ihtsales
ihkin	ihken
ihkku	ihkko
ihtin	ihten
ihttenaš	ihttenasj
ihttin	ihtten
ihánit	ihánet
ijatbeaivái	ijátbeajváj
ijatbeaivvi	ijátbeajvve
ijatbeivviid	ijátbejvvijd
ijatihkku	ijátihkku
ilbmán	ilmmán
ildi	illde
ildása	illdása
illumielain	illumielajn
illágoastta	illágoasta
illávejiid	illávejijd
ilmmiidalmmiid	ilmijdalmijd
imašlaččat	imasjlattjat
imeš	imesj
implisihtalaččat	implesihtalattjat
inta	intta
ipmilmeahttumit	ibmelmeahttumet
irggeš	irgesj
irta	irtta
isidaš	isedasj
iskor	isskur
issorasat	issurasat
jagáš	jagásj
jahkeviissaid	jahkevijssajd
jahkásaččat	jahkásattjat
jaril	jarel
jarkŋil	jarŋel
jaska	jasska
jeahkalahttá	jiehkalahttá
jeavda	jievdda
jeavddalaččat	jievdalattjat
jelgii	jelggij
jergo	jerggo
jierrásit	jierráset
jirpmet	jirmet
jitnosii	jidnusij
jitnosit	jidnuset
jitnoseabbot	jidnuseabbot
joaimmil	joajmel
joavkolaga	joavkkulaga
jođáneappot	jådåneappot
jođánepmosit	jådånepmoset
jođánit	jådånet
jogo	jågo
johtileappot	jåhteleappot
johtilit	jåhtelet
joksege	jåksege
jolga	jålggå
joppa	jåppå
jorbadassii	jårbbådassij
jorbasidjii	jårbbåsidjij
jorbasii	jårbbåsij
jorggotbeliid	jårgutbelijd
jorggotgežiid	jårgutgetjijd
jorgut	jårggut
juhkamassii	juhkamassij
juhkanoaivves	juhkanoajvves
julggal	julgal
juolgesesiin	juolggesesijn
juolgásiid	juolggásijd
justa	jussta
juste	jusste
jábmejassii	jábbmejassij
jáffonaga	jáffunaga
jáfonaga	jáfunaga
jálutbeliid	jálutbelijd
jámas	jámás
jándorviissaid	jánddurvijssajd
jávkkohagas	jávkuhagas
jávkkohahkii	jávkuhahkij
jávkosii	jávkkusij
jávkosis	jávkkuses
jávohaga	jávuhaga
jávvásii	jávvásij
jávvásis	jávváses
kievrru	kievro
kánske	kánsske
lagabuččas	lagábuttjas
lagabui	lagábuj
lagabuidda	lagábujdda
lagabus	lagábus
lagabužžii	lagábudtjij
lahkalagaid	lahkalagajd
lahkaorodettiin	lahkaorodettijn
lahkiidlahkiid	lahkijdlahkijd
lahkkálagaid	lahkkálagajd
lahkosin	lahkusen
lahkosis	lahkuses
largo	larggo
lasi	lase
lasmosii	lassmusij
lasmosis	lassmuses
latnjalagaid	ladnjalagajd
latnjalassii	ladnjalassij
latnjasii	ladnjasij
latnjasis	ladnjases
leabba	liebba
leabbagasas	liebbagasas
leabbagassii	liebbagassij
leabbut	liebbut
leagil	liegel
leaikavuođas	liejkkavuodas
leaikkal	liejkal
leaikkas	liejkas
leaimmil	liejmel
leakkil	liekkel
leamssil	liemsel
leanzut	lienttsut
leanzzil	lientsel
leavttuid	lievtujd
liđbma	lirmma
lihbadjái	lihbadjáj
lihbajis	lihbajes
lihpadjái	lihpadjáj
lihpajis	lihpajes
lihpebadjái	lihpebadjáj
lihpebajis	lihpebajes
liiggás	lijgás
liikka	lijka
liikká	lijká
liktásit	liktáset
loahpadassii	loahpadassij
loahpageahčai	loahpageahtjaj
loahpageahčen	loahpageahtjen
loaidulii	loajddulij
loaidulis	loajddules
loaittuid	loajtujd
loaittul	loajtul
loamil	loamel
loanas	lånas
loažža	loadtja
loažžut	loadtjut
lobiheamit	låbeheamet
lobihemet	låbehemet
logahussii	lågåhussij
logemađe	lågemade
logenear	lågenear
logeneare	lågeneare
logenár	lågenár
loginár	lågenár
logenáre	lågenáre
logádassii	lågådassij
logádis	lågådes
lohkamassii	låhkåmassij
lohkkojupmái	låhkkujupmáj
lohkkosupmái	låhkkusupmáj
lohkásiidlohkásiid	låhkåsijdlohkásijd
loidolii	låjddulij
loidolis	låjddules
loikasit	låjkkåset
loktasii	låktåsij
loktasis	låktåses
loktosii	låktusij
loktosis	låktuses
lotnolaga	lådnulaga
lotnolagaid	lådnulagajd
lossadit	låssådet
lotka	låtkå
lotnolassii	lådnulassij
luhčanaga	luhtjanaga
luhtteorodettiin	luhtteorodettijn
lulde	lullde
lulibui	lulebuj
lulibuidda	lulebujdda
lulibus	lulebus
lulil	lulel
lullelačča	lullelattja
lullelaččas	lullelattjas
lullelaš	lullelasj
lullelažžii	lulleladtjij
lullelebbui	lullelebbuj
lulleleppožii	lulleleppotjij
lulleleppožis	lulleleppotjes
lullelii	lullelij
lulleliidda	lullelijdda
lullelis	lulleles
lullil	lullel
lullin	lullen
lulábeallai	lulábeallaj
lulágeahčai	lulágeahtjaj
lulágeahčen	lulágeahtjen
lulágeaže	lulágeatje
lunddolaččat	lundulattjat
luođđagasas	luoddagasas
luođđagassii	luoddagassij
luođđagii	luoddagij
luođđagis	luoddages
luoddaráigge	luoddarájgge
luohkkálii	luohkkálij
luohkkális	luohkkáles
luohttalagaid	luohttalagajd
luoikkas	luojkas
luoittát	luojtát
luovddaid	luovdajd
luovddalagaid	luovdalagajd
luovos	luovus
luovosvuoji	luovusvuoje
lupmosit	lubmuset
luvvolagaid	luvvulagajd
láddagassii	láddagassij
láddasii	láddasij
láddasis	láddases
láhčamaš	láhtjamasj
láhji	láhje
láhkai	láhkaj
láhkái	láhkáj
láhkežeamen	láhketjeamen
láhppagassii	láhppagassij
láhppasii	láhppasij
láhppasis	láhppases
láhpposii	láhppusij
láhpposis	láhppuses
láigomassii	lájggumassij
láigumassii	lájggumassij
láimmil	lájmel
láitemeahttumit	lájttemeahttumet
láitinláhkai	lájttenláhkaj
lákčut	láktjut
lámas	lámás
lápmálassii	lábmálassij
lášmadit	lássjmadet
láseráigge	láserájgge
láskut	lásskut
lássaráigge	lássarájgge
látnalassii	ládnalassij
lávččil	lávtjel
lávda	lávdda
lávga	lávgga
lávgalagaid	lávggalagajd
lávžálagaid	lávttjálagajd
mađđása	maddása
mađe	made
mađi	made
mahkáš	mahkásj
mahtiin	mahtijn
mahtis	mahtes
mahttái	mahttáj
mai	maj
maid	majd
maiddá	majdá
maiddái	majdáj
maiddái	majdáj
maiddái	majdáj
maidddái	majdddáj
mallosge	mallusge
maŋemuš	maŋemusj
maŋemussii	maŋemussij
maŋimus	maŋemus
maŋimusas	maŋemusas
maŋimussii	maŋemussij
maŋimustá	maŋemustá
maŋimuštá	maŋemusjtá
maŋistaga	maŋestaga
maŋŋegeahčen	maŋŋegeahtjen
maŋŋelgihtii	maŋŋelgihtij
maŋŋelaš	maŋŋelasj
maŋŋelaš	maŋŋelasj
maŋŋelebbui	maŋŋelebbuj
maŋŋeleppožii	maŋŋeleppotjij
maŋŋeleppožis	maŋŋeleppotjes
maŋŋelii	maŋŋelij
maŋŋeliidda	maŋŋelijdda
maŋŋelis	maŋŋeles
maŋŋelis	maŋŋeles
maŋŋemaŋŋálagaid	maŋŋemaŋŋálagajd
maŋŋidii	maŋŋedij
maŋŋil	maŋŋel
maŋŋin	maŋŋen
maŋŋit	maŋŋet
maŋŋiteahket	maŋŋeteahket
maŋŋitgiđa	maŋŋetgida
maŋŋálagaid	maŋŋálagajd
maŋŋásanatis	maŋŋásanates
maŋos	maŋus
maŋosguvlui	maŋusguvluj
maŋosii	maŋusij
maŋábeallai	maŋábeallaj
maŋágeahčai	maŋágeahtjaj
maŋágeahčen	maŋágeahtjen
maŋágeaže	maŋágeatje
maŋágeažes	maŋágeatjes
maŋálgihtii	maŋálgihtij
maŋásguvlui	maŋásguvluj
maŋážassii	maŋátjassij
maŋážussii	maŋátjussij
manin	manen
maninge	manenge
manješ	manjesj
mannolagas	mannulagas
mannolahkii	mannulahkij
markkát	markát
meaddelaš	mieddelasj
meahcabealde	miehtsabealde
meahcabeale	miehtsabeale
meahcabeallai	miehtsabeallaj
meahcceráigge	miehttserájgge
meahccáiaga	mæhttsájaga
mealgadat	mielggadat
mealgadaččas	mielggadattjas
mealgadaš	mielggadasj
mealgadažžii	mielggadadtjij
mealgadii	mielggadij
mealgadis	mielggades
mealgadit	mielggadet
mealgat	mielggat
mearabui	mierabuj
mearabuidda	mierabujdda
mearabus	mierabus
mearkkašahtti	mierkatjahtte
measta	miessta
meastui	miesstuj
meattá	mættá
mehcobealde	mehtsubealde
mehcobeale	mehtsubeale
mehcobeallai	mehtsubeallaj
menddo	mendo
mieđaid	miedajd
mieđil	miedel
mieđabealde	miedabealde
mieđábealde	miedábealde
mieđábeale	miedábeale
mieđábeallai	miedábeallaj
mieđás	miedás
miehtebeaivái	miehtebeajváj
miehtečáhcái	miehtetjáhtsáj
miehtegulgii	miehtegulgij
miehtejohtimii	miehtejohtimij
miehtelii	miehtelij
miehtelis	miehteles
miehtemurrii	miehtemurrij
miehterávdnjái	miehterávnnjáj
miehtil	miehtel
miehtásit	miehtáset
mieigut	miejggut
mielalaččat	mielalattjat
mielalis	mielales
mielastepmosit	mielastepmoset
mielddánátis	mieldánátes
mielddistis	mieldestes
mielde	miellde
mieldi	miellde
mieldeorodettiin	mielldeorodettijn
mieldálagaid	mielldálagajd
mieldámet	mielldámet
miellasepmosit	miellasepmoset
mieláhkui	mieláhkuj
mihus	midus
miilaviissaid	mijlavijssajd
milloseappot	milluseappot
milloseabbot	milluseabbot
millosepmosit	millusepmoset
minddar	mindar
minddár	mindár
mista	missta
moson	måsun
moakkil	moakkel
moalkkil	moalkel
moalkut	moalkkut
moarseš	moarssesj
moddii	måddij
mohkil	måhkel
mojonjálmmiid	måjunjálmijd
mojunjálmmiid	måjunjálmijd
moktege	måktege
moktige	måktege
morseš	mårssesj
moskosii	måsskusij
moskosis	måsskuses
mot	måt
movt	måvt
movtta	måvtå
muđolassii	mudulassij
muđui	muduj
muđuui	mudouj
muđuid	mudujd
muggarassii	muggarassij
muhtemin	muhtemen
muhtimassii	muhtemassij
muhtimin	muhtemen
muhtomin	muhtumen
muhtumassii	muhtumassij
muhtumin	muhtumen
muhtunláhkai	muhtunláhkaj
mulgut	mulggut
muoŧáš	muotásj
murtolassii	murttulassij
muttuid	muttujd
muttágit	muttáget
máddelačča	máddelattja
máddelaččas	máddelattjas
máddelažžii	máddeladtjij
máddelebbui	máddelebbuj
máddelii	máddelij
máddeliidda	máddelijdda
máddelis	máddeles
máddelit	máddelet
máddil	máddel
máddin	mádden
máddinnuortan	máddennuortan
máddinoarjin	máddenoarjen
máddugit	mádduget
máhccagasas	máhttsagasas
máhccagassii	máhttsagassij
máhccevaččat	máhttsevattjat
máhccovuksii	máhttsuvuksij
máhccut	máhttsut
máhcil	máhtsel
mái	máj
máŋggaládje	máŋgaládje
máŋggaláhkai	máŋgaláhkaj
máŋgii	máŋggij
máŋgimusat	máŋggemusat
mánnosaččat	mánnusattjat
mášolaččat	másjulattjat
máttabeallai	máttabeallaj
máttageahčai	máttageahtjaj
máttageahčen	máttageahtjen
máttageaže	máttageatje
máttagit	máttaget
máttibui	máttebuj
máttibuidda	máttebujdda
máttibus	máttebus
máttil	máttel
nabason	nabáson
nađđagasas	naddagasas
nađđagassii	naddagassij
nađo	nado
nalde	nallde
namalassii	namálassij
nammejahkii	nammejahkij
nannosit	nannuset
nappot	napput
nebeš	nebesj
niehkabeallai	niehkabeallaj
nirvut	nirvvut
nirvvil	nirvel
niskkemaŋil	niskemaŋel
nissonahttá	nissunahttá
njagil	njagel
njahpagassii	njahpagassij
njahppagassii	njahppagassij
njahppasii	njahppasij
njahppasis	njahppases
njakčut	njaktjut
njalput	njalpput
njamažahkkát	njamátjahkkát
njaŋgut	njaŋggut
njavččil	njavtjel
njavga	njavgga
njavkkil	njavkel
njeakcut	njiektsut
njealjádassii	njæljjádassij
njealjádis	njæljjádes
njealljásiidnjealljásiid	njælljásijnnjealljásijd
njeavccil	njievttsel
njeazzut	njiedtsut
njeljiidnjeljiid	njeljjijnnjeljijd
njelljii	njelljij
njiellagassii	njiellagassij
njoaiddul	njoajdul
njoalput	njoalpput
njoarostanmuddui	njoarustanmudduj
njoarostanmuttos	njoarustanmuttos
njoarragii	njoarragij
njoarragis	njoarrages
njoaskut	njoasskut
njoazebut	njoatsebut
njoazit	njoatset
njolgelávkái	njålggelávkáj
njolggi	njålge
njozet	njåtset
njulgestaga	njulggestaga
njunnesuoril	njunnesuorel
njunnálagaid	njunnálagajd
njunolassii	njunulassij
njunos	njunus
njunálassii	njunálassij
njunálassii	njunálassij
njunális	njunáles
njunásiid	njunásijd
njuokkil	njuokkel
njuolganaga	njuolgganaga
njuolggabut	njuolgabut
njuolggoseaibbe	njuolguseajbbe
njuolggočilggiid	njuolgutjilggijd
njuolggá	njuolgá
njuolggát	njuolgát
njuolggoluotta	njuolguluotta
njuolgguslaččat	njuolguslattjat
njuolgut	njuolggut
njuorrasit	njuorraset
njuoskkasnaga	njuoskasnaga
njuovahussii	njuovahussij
njuovvamassii	njuovvamassij
njuovvanviđá	njuovvanvidá
njuovžilit	njuovttjelet
njáikkal	njájkal
njáikkul	njájkul
njálgát	njálggát
njálmmálaččat	njálmálattjat
njálmmát	njálmát
njámmagassii	njámmagassij
njámmasii	njámmasij
njámmasis	njámmases
njáŋgut	njáŋggut
njárbadit	njárbbadet
njárggal	njárgal
noađđeselggiid	noaddeselggijd
nođđosii	nåddusij
nođđosis	nådduses
nohkka	nåhkkå
nollut	nållut
norggabealde	nårgåbealde
nudaddjon	nudáddjon
numot	numut
nuogis	nuoges
nuokkevuollái	nuokkevuolláj
nuolos	nuolus
nuoluid	nuolujd
nuortalačča	nuorttalattja
nuortalaččas	nuorttalattjas
nuortalaš	nuorttalasj
nuortalažžii	nuorttaladtjij
nuortaleamos	nuorttaleamos
nuortaleappos	nuorttaleappos
nuortalebbui	nuorttalebbuj
nuortaleppožii	nuorttaleppotjij
nuortaleppožis	nuorttaleppotjes
nuortalii	nuorttalij
nuortaliidda	nuorttalijdda
nuortalis	nuorttales
nuortalit	nuorttalet
nuortan	nuorttan
nuortandavvin	nuorttandavven
nuortanlullin	nuorttanlullen
nuortin	nuortten
nuorttabealde	nuortabealde
nuorttabeale	nuortabeale
nuorttabeallai	nuortabeallaj
nuorttabui	nuortabuj
nuorttabuidda	nuortabujdda
nuorttabus	nuortabus
nuorttageahčai	nuortageahtjaj
nuorttageahčen	nuortageahtjen
nuorttageaže	nuortageatje
nuorttas	nuortas
nuppeaivve	nuppeajvve
nuppeláhkai	nuppeláhkaj
nuppos	nuppus
nuppádassii	nuppádassij
nuppádis	nuppádes
nuskket	nusket
nuvttá	nuvtá
nuvttánaga	nuvtánaga
náđđagasas	náddagasas
náđđagassii	náddagassij
nárvvil	nárvel
návrun	návrrun
oaba	åba
oabanassii	åbanassij
oaidninláhkai	oajnnenláhkaj
oainna	oajna
oainnat	oajnat
oainneman	oajneman
oaivveheamet	oajveheamet
oaivvesnaga	oajvesnaga
oaivvát	oajvát
oalil	oalel
oalleláhkai	oalleláhkaj
oaláhii	oaláhij
oanehassii	oanehassij
oanekassii	oanekassij
oanit	oanet
oapmet	oabmet
oapmit	oabmet
oarjelačča	oarjjelattja
oarjelaččas	oarjjelattjas
oarjelaš	oarjjelasj
oarjelažžii	oarjjeladtjij
oarjeleamos	oarjjeleamos
oarjeleappos	oarjjeleappos
oarjelebbui	oarjjelebbuj
oarjeleppožii	oarjjeleppotjij
oarjeleppožis	oarjjeleppotjes
oarjelii	oarjjelij
oarjeliidda	oarjjelijdda
oarjelis	oarjjeles
oarjelit	oarjjelet
oarjil	oarjjel
oarjin	oarjjen
oarjindavvin	oarjjendavven
oarjinlullin	oarjjenlullen
oarjjabealde	oarjabealde
oarjjabeale	oarjabeale
oarjjabeallai	oarjabeallaj
oarjjageahčai	oarjageahtjaj
oarjjageahčen	oarjageahtjen
oarjjageaže	oarjageatje
oarjjibui	oarjebuj
oarjjibuidda	oarjebujdda
oarjjibus	oarjebus
oarjjil	oarjel
oarjjál	oarjál
oarjjás	oarjás
oarjjásdavás	oarjásdavás
oarjjáslulás	oarjáslulás
oarpmenbeleš	oarmenbelesj
oassálagaid	oassálagajd
oatnebotta	oadnebotta
oavnnjil	oavnjel
oažžunsadjái	oadtjunsadjáj
oažžunsajis	oadtjunsajes
oba	åbå
oba	åbå
obalohkái	åbålohkáj
obanassii	åbånassij
obbanassii	åbbånassij
obba	åbbå
obbagazzii	åbbågadtsij
obbalohkái	åbbålohkáj
obban	åbbån
obbanaga	åbbånaga
ođasnaga	ådåsnaga
ođđasis	åddåses
ođđasit	åddåset
odjorassii	ådjurassij
odne	åddne
ohcanláhkai	åhtsånláhkaj
ohpihii	åhpehij
ohpit	åhpet
oidnolagaid	åjnnulagajd
oidnosii	åjnnusij
oidnosis	åjnnuses
oinnolaččat	åjnulattjat
okcii	åktsij
oktan	åktån
oktanaga	åktånaga
oktanagas	åktånagas
oktanis	åktånes
oktasaččat	åktåsattjat
oktaseametteska	åktåseametteska
okte	åkte
oktege	åktege
oktii	åktij
oktiibuot	åktijbuot
oktiigait	åktijgajt
oktiige	åktijge
oktiinjálmmiid	åktijnjálmijd
oktiiráđiid	åktijrádijd
oktilaččat	åktelattjat
oktilassii	åktelassij
oktilit	åktelet
okto	åkto
okto	åkto
oktonassii	åktunassij
oktooaivvis	åktooajvves
oktoráđálaččat	åkturádálattjat
olahagas	ålåhagas
olahahkii	ålåhahkij
olatmeahttumii	ålåtmeahttumij
olatmeahttumis	ålåtmeahttumes
olggobeale	ålgubeale
olggobeali	ålgubeale
olggobeale	ålgubeale
olggobeallái	ålgubealláj
olggos	ålgus
olggossisa	ålgussisa
olggubui	ålgubuj
olggubuidda	ålgubujdda
olggubus	ålgubus
olggul	ålgul
olgguldasat	ålguldasat
olgolačča	ålggulattja
olgolaččas	ålggulattjas
olgolažžii	ålgguladtjij
olgoleappos	ålgguleappos
olgolebbui	ålggulebbuj
olgoleppožii	ålgguleppotjij
olgoleppožis	ålgguleppotjes
olgolii	ålggulij
olgoliidda	ålggulijdda
olgolis	ålggules
olgoráigge	ålggurájgge
olgul	ålggul
olgulačča	ålggulattja
olgun	ålggun
ollege	ållege
ollenge	ållenge
ollislaččat	ålleslattjat
ollodagas	ålludagas
ollodahkii	ålludahkij
ollonaga	ållunaga
ollu	ållo
ollunága	ållunága
ollásii	ållåsij
ollát	ållåt
olu	ålo
olus	ålus
olámuddui	ålåmudduj
olámuttos	ålåmuttos
on	ån
oŋ	åŋ
oppa	åppå
oppalaččat	åppålattjat
oppalohkái	åppålohkáj
oppanassii	åppånassij
opparat	åppårat
optimalalaččat	åptemalalattjat
orddil	årdel
orot	årut
oskkáldasat	åskåldasat
osohahkii	åsuhahkij
otne	ådne
otnánaga	ådnånaga
ovccádassii	åvttsådassij
ovccádis	åvttsådes
ovdagihtii	åvddågihtij
ovdalgihtii	åvddålgihtij
ovdal	åvddål
ovdalaš	åvddålasj
ovdalaš	åvddålasj
ovdaleappos	åvddåleappos
ovdalebbui	åvddålebbuj
ovdaleppožii	åvddåleppotjij
ovdaleppožis	åvddåleppotjes
ovdalii	åvddålij
ovdaliidda	åvddålijdda
ovdalis	åvddåles
ovdan	åvddån
ovdanruoktot	åvddånruoktot
ovdasanatis	åvddåsanates
ovdabeallái	åvddåbealláj
ovdabealde	åvddåbealde
ovddabealde	åvdåbealde
ovddabeale	åvdåbeale
ovddabeallai	åvdåbeallaj
ovddageahčai	åvdågeahtjaj
ovddageahčen	åvdågeahtjen
ovddalgihtii	åvdålgihtij
ovddas	åvdås
ovddemus	åvdemus
ovddemusat	åvdemusat
ovddemustá	åvdemustá
ovddežis	åvdetjes
ovddibui	åvdebuj
ovddibuidda	åvdebujdda
ovddibus	åvdebus
ovddimustá	åvdemustá
ovddimus	åvdemus
ovddos	åvdus
ovddosguvlui	åvdusguvluj
ovddosguovlluid	åvdusguovllujd
ovddosmaŋás	åvdusmaŋás
ovddosii	åvdusij
ovdelis	åvddeles
ovdán	åvddån
ovstalii	åvsstålij
ovstalis	åvsståles
ovstan	åvsstån
ovsttas	åvstås
ovtta	åvtå
ovttaidovttaid	åvtåjdovttajd
ovttaid-ovttaid	åvtåjd-åvtåjd
ovttafáru	åvtåfáru
ovttajienalaččat	åvtåjienalattjat
ovttaládje	åvtåládje
ovttaláhkai	åvtåláhkaj
ovttaláhkái	åvtåláhkáj
ovttamađe	åvtåmade
ovttamielas	åvtåmielas
ovttamielalaččat	åvtåmielalattjat
ovttas	åvtås
ovttasráđiid	åvtåsrádijd
ovttatládje	åvtåtládje
ovttatláhkái	åvtåtláhkáj
ovttatmano	åvtåtmano
ovttatmanu	åvtåtmanu
ovttatmanos	åvtåtmanos
ovtto	åvto
ovttohii	åvtuhij
ovttotládje	åvtutládje
peanta	pientta
persovnnalaččat	perssuvnalattjat
presto	pressto
raddálagaid	raddálagajd
rahpil	rahpel
rančut	rantjut
rastá	rasstá
rastá	rasstá
ravdal	ravddal
ravdalačča	ravddalattja
ravdalaččas	ravddalattjas
ravdalažžii	ravddaladtjij
ravdaleappos	ravddaleappos
ravdalebbui	ravddalebbuj
ravdaleppožii	ravddaleppotjij
ravdaleppožis	ravddaleppotjes
ravdalii	ravddalij
ravdaliidda	ravddalijdda
ravdalis	ravddales
ravddabui	ravdabuj
ravddabuidda	ravdabujdda
ravddabus	ravdabus
ravddagit	ravdaget
reahccut	riehttsut
reaida	riejdda
reaŋggaš	rieŋgasj
reavžut	rievttjut
riđus	ridus
riddolačča	riddulattja
riddolaččas	riddulattjas
riddolaččas.	riddulattjas.
riddolaš	riddulasj
riddolažžii	ridduladtjij
riddoleappos	ridduleappos
riddoleappos.	ridduleappos.
riddolebbui	riddulebbuj
riddolebbui	riddulebbuj
riddolii	riddulij
riddoliidda	riddulijdda
riddolis	riddules
rievttuid	rievtujd
riikkaidgaskasaččat	rijkajdgaskasattjat
rihccut	rihttsut
rihcojulggiid	rihtsujulggijd
rinčut	rintjut
rindeozaid	rinddeotsajd
ristut	risstut
rittubui	rittubuj
rittubuidda	rittubujdda
rivašilljá	rivatjilljá
rivvosii	rivvusij
roahkil	roahkel
roaibbonjálmmiid	roajbunjálmijd
roaibut	roajbbut
roamššil	roamsjel
roaŋkkil	roaŋkel
roaŋkut	roaŋkkut
roanccil	roantsel
roancut	roanttsut
roavččil	roavtjel
roavkkul	roavkul
roggut	råggut
rokkil	råkkel
romet	råmet
ruibbonjálmmiid	rujbunjálmijd
ruibut	rujbbut
ruksessidjii	ruksessidjij
rumppis	rumpes
rumpái	rumppáj
ruoktot	ruoktut
ruoššabealde	ruossjabealde
ruossalassii	ruossalassij
ruoŧabealde	ruotabealde
ruovttogežiid	ruovtugetjijd
ruovttogillii	ruovtugillij
ruovttoguvlui	ruovtuguvluj
ruovttoluotta	ruovtuluotta
ruovttoládje	ruovtuládje
ruovttotgežiid	ruovtutgetjijd
ruššojit	russjujet
russolassii	russulassij
ruvgalassii	ruvggalassij
ruvžžal	ruvtjal
rábášnaga	rábásjnaga
ráđđasii	ráddasij
ráđđasis	ráddases
rádjai	rádjaj
rádjái	rádjáj
rádjálagaid	rádjálagajd
ráđđálagaid	ráddálagajd
ráfálaččat	ráfálattjat
rái	ráj
ráidnasit	rájnnaset
ráigeráigge	rájggerájgge
ráigge	rájge
ráiggil	rájgel
rájis	rájes
rámppaid	rámpajd
rámskkil	rámskel
šahtain	sjahtajn
šat	sjat
šatain	sjatájn
šet	sjet
šieđus	sjiedus
šiehppun	sjiehppun
šiehppunassii	sjiehppunassij
šiehpus	sjiehpus
šiehput	sjiehput
šlumpa	slumppa
šluppul	sluppul
šnjorrosii	sjnjårrusij
šnjuoggut	sjnjuoggut
šnjuokkil	sjnjuokkel
sadjagassii	sadjagassij
sadjosii	sadjusij
sadjosis	sadjuses
sajis	sajes
sajusláhkai	sajusláhkaj
sallalagaid	sallalagajd
seahkesearválaga	siehkesearválaga
seahkálaga	sæhkálaga
seahkálagaid	sæhkálagajd
seahkalagaid	siehkalagajd
seaidnelačča	siejnnelattja
seaidnelaččas	siejnnelattjas
seaidnelaš	siejnnelasj
seaidnelažžii	siejnneladtjij
seaidneleappos	siejnneleappos
seaidnelebbui	siejnnelebbuj
seaidneleppožii	siejnneleppotjij
seaidneleppožis	siejnneleppotjes
seaidnelii	siejnnelij
seaidneliidda	siejnnelijdda
seaidnelis	siejnneles
seaidnil	siejnnel
seaiga	siejgga
seainna	siejna
seainnibui	siejnebuj
seainnibuidda	siejnebujdda
seainnibus	siejnebus
sealgga	sielga
sealggabeale	sielgabeale
sealggabealde	sielgabealde
sealggabeallái	sielgabealláj
sealggebeale	sielgebeale
sealggebealde	sielgebealde
sealggebeallái	sielgebealláj
selggobeale	selgubeale
selggobealde	selgubealde
selggobeallái	selgubealláj
sealggálassii	sælgálassij
sealgil	sielggel
seammas	siemmas
seammaláhkai	siemmaláhkaj
seammaláhkái	siemmaláhkáj
seammaládje	siemmaládje
seammáláhkai	sæmmáláhkaj
seammáládje	sæmmáládje
seammás	sæmmás
searválaga	særvválaga
searválagaid	særvválagajd
sekundáralaččat	sekundáralattjat
selggo	selgo
selggos	selgus
siđvut	sirvvut
sidjii	sidjij
sieiga	siejgga
sierraláhkai	sierraláhkaj
sierranassii	sierranassij
sihkkarit	sihkkaret
siidolagaid	sijddulagajd
sikkarit	sikkaret
sisaboakkil	sisáboakkel
sisabui	sisábuj
sisabuidda	sisábujdda
sisabus	sisábus
siskabealde	sisskabealde
siskabeallái	sisskabealláj
siskelačča	sisskelattja
siskelaččas	sisskelattjas
siskelaš	sisskelasj
siskelažžii	sisskeladtjij
siskeleamos	sisskeleamos
siskeleappos	sisskeleappos
siskelebbui	sisskelebbuj
siskeleppožii	sisskeleppotjij
siskeleppožis	sisskeleppotjes
siskelii	sisskelij
siskeliidda	sisskelijdda
siskelis	sisskeles
siskelit	sisskelet
siskil	sisskel
siskka	siska
siskkibui	siskebuj
siskkibuidda	siskebujdda
siskkibus	siskebus
siskkil	siskel
siskko	sisko
siskkáldasat	siskáldasat
siskálagaid	sisskálagajd
siste	sisste
sisttánátis	sistánátes
sivjjogaš	sivjugasj
