                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	a
genitiiva#hápmásaš	genetijva#hábmásasj	a
geniála	geniála	a
geo#sentrála	geo#sentrála	a
geo^gráfalaš	geo^gráfálasj	a
geologalaš	geolugalasj	a
geometralaš	geometralasj	a
geometrihkalaš	geometrihkalasj	a
geotermihkalaš	geotermihkalasj	a
gerremas	gerremas	a
gesii	gesij	a
giddat	giddat	a
giekcájeaddji	giektsájeaddje	a
giela#gaskasaš	giela#gasskasasj	a
gieldalaš	gielldalasj	a
gielddus	gieldus	a
giella#dieđalaš	giella#diedalasj	a
giella#oahpalaš	giella#oahpalasj	a
gierddoheapme	gierduheapme	a
gierdevaš	gierddevasj	a
gieskadaš	giesskadasj	a
giimmas	gijmas	a
giitimeahttun	gijttemeahttun	a
gillomaddjái	gillumaddjáj	a
gillámeahttun	gillámeahttun	a
gilvvakeahtes	gilvakeahtes	a
gilvvehahtti	gilvehahtte	a
gilvvihahtti	gilvehahtte	a
girji#loguheapme	girjje#låguheapme	a
girkat	girkkat	a
girrat	girrat	a
givrosaš	givrrusasj	a
givssas	givsas	a
giđđasaš	giddasasj	a
globála	glåbåla	a
globálalaš	glåbålalasj	a
glottála	glåttåla	a
goabbat#beallásaš	goabbat#bællásasj	a
goabmái	goabbmáj	a
goahcce#lágan	goahttse#lágán	a
goahcce#lágaš	goahttse#lágasj	a
goahcce#lágán	goahttse#lágán	a
goahcce#lágáš	goahttse#lágásj	a
goahkkái	goahkkáj	a
goaiddus	goajdus	a
goaidi	goajdde	a
goakšat	goaktjat	a
goalššas	goalsjas	a
goappeš	goappesj	a
goarkŋohahtti	goarŋuhahtte	a
goarpmohahtti	goarmuhahtte	a
goavis	goaves	a
goavkkas	goavkas	a
goađiheapme	goadeheapme	a
gobas	gåbås	a
gohpi#vuđot	gåhpe#vudut	a
gohtolaš	gåhtulasj	a
goike	gåjkke	a
goikil	gåjkkel	a
goikivaš	gåjkkevasj	a
gokčevaš	gåktjevasj	a
golbma#oktalaš	gålmmå#åktålasj	a
golbma#ollil	gålmmå#ållel	a
golgil	gålggel	a
golgoslágan	gålgguslágan	a
golgoslágán	gålgguslágán	a
gollil	gållel	a
golmma#beaivásaš	gålmå#bæjvvásasj	a
golmma#ceahkálaš	gålmå#tsæhkálasj	a
golmma#gearddáš	gålmå#gærdásj	a
golmma#geardán	gålmå#gærddán	a
golmma#geardásaš	gålmå#gærddásasj	a
golmma#juvllat	gålmå#juvlat	a
golmma#oasat	gålmå#åsat	a
golmma#oktalaš	gålmå#åktålasj	a
golmma#oktasaš	gålmå#åktåsasj	a
golmma#sárgálaš	gålmå#sárggálasj	a
golmma-jahkásaš	gålmå-jahkásasj	a
golnnas	gålnås	a
gomohalli	gåmuhalle	a
gonagaslaš	gånågaslasj	a
goreheapme	gåreheapme	a
goriheapme	gåreheapme	a
gorrálas	gårrålas	a
gortnas	gårnås	a
gotihkalaš	gåtehkalasj	a
gottiheapme	gåtteheapme	a
govdat	gåvddåt	a
govddoheapme	gåvduheapme	a
govddus	gåvdus	a
govdosaš	gåvddusasj	a
govnnas	gåvnås	a
govttohis	gåvtuhes	a
govttolaš	gåvtulasj	a
govttolašmeahttun	gåvtulasjmeahttun	a
govvideaddji	gåvvedeaddje	a
govččoheapme	gåvtjuheapme	a
govččolaš	gåvtjulasj	a
grammatalaš	grammatalasj	a
grammáhtalaš	grammáhtalasj	a
greikkalaš	grejkalasj	a
groteaska	gråteaska	a
gráfalaš	gráfálasj	a
grámmasaš	grámmasasj	a
gudni#dievas	guddne#dievas	a
gudniheapme	guddneheapme	a
guhke#dáleš	guhke#dálesj	a
guhke#áigásaš	guhke#ájggásasj	a
guhkes#áiggi	guhkes#ájge	a
guhkes#áigásaš	guhkes#ájggásasj	a
guhkilmas	guhkelmas	a
guhkolaš	guhkulasj	a
guhkálmas	guhkálmas	a
guimmešvuođalágan	gujmesjvuodalágan	a
gulavaš	gulávasj	a
gullevaš	gullevasj	a
gullivaš	gullevasj	a
gullojeaddji	gullujeaddje	a
gullomeahttun	gullumeahttun	a
gulus	gulus	a
gumpái	gumppáj	a
guoddevaš	guoddevasj	a
guoddin#nákcalaš	guodden#náktsalasj	a
guohca	guohtsa	a
guoikái	guojkkáj	a
guokte#ollil	guokte#ållel	a
guoktelaš	guoktelasj	a
guoleheapme	guoleheapme	a
guoliheapme	guoleheapme	a
guollái	guolláj	a
guonna	guonna	a
guorahallameahttun	guorahallameahttun	a
guoros	guorus	a
guorranmeahttun	guorranmeahttun	a
guorus	guorus	a
guoskameahttun	guosskameahttun	a
guoskevaš	guosskevasj	a
guoskkaheaddji	guoskaheaddje	a
guossaskas	guossaskas	a
guovda#geaidnolaš	guovdda#giejnnulasj	a
guovddášlaš	guovdásjlasj	a
guovllu#guovdasaš	guovlo#guovddasasj	a
guovllu#psykiátralaš	guovlo#psykiátralasj	a
guovlu#politihkalaš	guovllo#påletihkalasj	a
guovlu#politihkkalaš	guovllo#påletihkkalasj	a
guovlulaš	guovllulasj	a
guovnnjas	guovnjas	a
guovtte#bealat	guovte#bielat	a
guovtte#beallásaš	guovte#bællásasj	a
guovtte#bealát	guovte#bælát	a
guovtte#dássásaš	guovte#dássásasj	a
guovtte#gearddaš	guovte#gierdasj	a
guovtte#geardán	guovte#gærddán	a
guovtte#geardásaš	guovte#gærddásasj	a
guovtte#juvllat	guovte#juvlat	a
guovtte#miesat	guovte#miesat	a
guovtte#oasat	guovte#åsat	a
guovtte#ollil	guovte#ållel	a
guovtte#suorat	guovte#suorat	a
guovtte#sárgálaš	guovte#sárggálasj	a
guovtte#čilggolaš	guovte#tjilgulasj	a
guovttelágan	guovtelágan	a
guovtti#gaskasaš	guovte#gasskasasj	a
guovtti#guolmmat	guovte#guolmat	a
guovttá#gaskasaš	guovtá#gasskasasj	a
gurccas	gurtsas	a
gurdui	gurdduj	a
gurggástat#guovdasaš	gurgástat#guovddasasj	a
gurrái	gurráj	a
gurut	gurut	a
guskkolaš	guskulasj	a
gustojeaddji	gusstujeaddje	a
gustomeahttun	gusstumeahttun	a
gustovaš	gusstuvasj	a
gutniheapme	gudneheapme	a
guvges#ruoksat	guvgges#ruoksat	a
guvlolaš	guvllulasj	a
gádnosaš	gáddnusasj	a
gáfat	gáfát	a
gáhtten#árvosaš	gáhtten#árvvusasj	a
gáiddus	gájdus	a
gáirras	gájrras	a
gáldo#projektionála	gálldo#pråjektionála	a
gálggus	gálgus	a
gálmmas	gálmas	a
gálos	gálus	a
gálus	gálus	a
gálššas	gálsjas	a
gánnihahtti	gánnehahtte	a
gánnáhahtti	gánnáhahtte	a
gáppus	gáppus	a
gárka	gárkka	a
gárkka	gárka	a
gárkkis	gárkes	a
gárkŋas	gárŋas	a
gárvviheapme	gárveheapme	a
gáržžekeahtes	gártjekeahtes	a
gávddas	gávdas	a
gávpelaš	gávppelasj	a
gávrras	gávras	a
gávvar	gávvar	a
gávzzas	gávtsas	a
harbmadas	harmmadas	a
harbmat	harmmat	a
harmonalaš	harmunalasj	a
harmoniijalaš	harmunijjalasj	a
harmovnnalaš	harmuvnalasj	a
hatteheapme	hatteheapme	a
hattiheapme	hatteheapme	a
heagga#váldi	hiegga#vállde	a
heahkas	hiehkas	a
heahpatlaš	hiehpatlasj	a
heahpatmeahttun	hiehpatmeahttun	a
heaila	hiejla	a
heailla	hiejlla	a
heaivvoheapme	hiejvuheapme	a
heajoslágan	hiejuslágan	a
heajoslágán	hiejuslágán	a
heakka#deaŧalaš	hiekka#dietalasj	a
heakka#dehálaš	hiekka#dehálasj	a
heakka#váralaš	hiekka#várálasj	a
heakka#várálaš	hiekka#várálasj	a
healpu	hielppo	a
hearrákeahtes	hærrákeahtes	a
heava	hieva	a
heađiheapme	hiedeheapme	a
heila	hejla	a
heilla	hejlla	a
heittot	hejtut	a
heivemeahttun	hejvvemeahttun	a
heivetmeahttun	hejvvetmeahttun	a
heivvolaš	hejvulasj	a
hermehtalaš	hermehtalasj	a
hermetihkalaš	hermetihkalasj	a
herveja	hervveja	a
heterogena	heterogena	a
hevskkálaš	hevskálasj	a
hevssolaš	hevsulasj	a
hiebanas	hiebanas	a
hier^árkkalaš	hier^árkalasj	a
hilján	hiljján	a
hirbmat	hirmmat	a
hirbmatlaš	hirmmatlasj	a
hirpmus	hirmus	a
hirras	hirras	a
historjjákeahtes	hissturjjákeahtes	a
historjjálaš	hissturjjálasj	a
historjá-bi^o^grafiija	hissturjá-bi^o^grafijja	a
historjálaš	hissturjálasj	a
hoalddaheapme	hoaldaheapme	a
hobas	håbås	a
hohppil	håhppel	a
homo#seksuála	håmo#seksoála	a
homogena	håmugena	a
horisontálalaš	håresontálalasj	a
huksenkeahtes	huksenkeahtes	a
humaniteara	humániteara	a
humanitára	humánitára	a
humoristtalaš	humuristalasj	a
humána	humána	a
humánalaš	humánalasj	a
huvlla	huvla	a
hypera	hypera	a
hypotehtalaš	hyputehtalasj	a
háittis	hájtes	a
hálddahuslaš	háldahuslasj	a
hálddatlaš	háldatlasj	a
hálssas	hálsas	a
hálttat	háltat	a
hámiheapme	hámeheapme	a
hápme#jámas	hábme#jámás	a
hápme#oahpalaš	hábme#oahpalasj	a
hápmásaš	hábmásasj	a
háriheapme	háreheapme	a
hárjjiheapme	hárjeheapme	a
hármonalaš	hármunalasj	a
hármovnnalaš	hármuvnalasj	a
hárras	hárras	a
hárvenaš	hárvvenasj	a
hárvi	hárvve	a
hávrra	hávra	a
hávskkes	hávskes	a
háváš	hávásj	a
iddjái	iddjáj	a
idealaš	idealasj	a
idealisttalaš	idealistalasj	a
ideanttalaš	ideanttalasj	a
ideationála	ideationála	a
ideologalaš	ideologalasj	a
ideologálaš	ideologálasj	a
ideála	ideála	a
idiomáhtalaš	idiomáhtalasj	a
idjasaš	idjasasj	a
iehčanas	iehtjanas	a
ievttá	ievtá	a
ievttáš	ievtásj	a
ieš#addiluvvon	iesj#addeluvvon	a
ieš#buorre	iesj#buorre	a
ieš#gieđalaš	iesj#giedalasj	a
ieš#guhtetlágan	iesj#guhtetlágan	a
ieš#guđetgelágan	iesj#gudetgelágan	a
ieš#guđetgelágaš	iesj#gudetgelágasj	a
ieš#guđetgelágán	iesj#gudetgelágán	a
ieš#guđetgelágáš	iesj#gudetgelágásj	a
ieš#guđetlágan	iesj#gudetlágan	a
ieš#guđetlágán	iesj#gudetlágán	a
ieš#lágalaš	iesj#lágálasj	a
ieš#oahppan	iesj#oahppan	a
ieš#ráhkaduvvon	iesj#ráhkaduvvon	a
ieš#vuđot	iesj#vudut	a
iežas#lágan	ietjas#lágán	a
iežas#lágán	ietjas#lágán	a
iežaslaš	ietjaslasj	a
iežálágan	ietjálágan	a
ihttá	ihttá	a
ihtá	ihtá	a
ihtáš	ihtásj	a
ii-referentiála	ij-referentiála	a
ilgadit	ilggadet	a
illatiiva#hápmásaš	illatijva#hábmásasj	a
illudahtti	illudahtte	a
im^plikationála	im^plikátionála	a
im^plisihtta	im^plisehtta	a
im^pressiiva	im^pressijva	a
imaginára	imáginára	a
imašlaš	imasjlasj	a
immaneanta	immaneanta	a
immateriálalaš	immateriálalasj	a
impersonála	imppersonála	a
in^struktiiva	in^struktijva	a
in^transitiiva	in^transsetijva	a
indefinihtta	inddefinihtta	a
individuála	inddeviduála	a
individuálalaš	inddeviduálalasj	a
indiviidalaš	inddevijdalasj	a
indo-fijilaš	inddo-fijelasj	a
industriijalaš	inddustrijjalasj	a
industriála	inddustriála	a
infernálalaš	infernálalasj	a
infinihta	infenihta	a
infinihtta	infenihtta	a
inkonsekveanta	inkunsekveanta	a
instinktiiva	insstenktijva	a
inteansa	intteansa	a
intellektuála	inttellektuála	a
intelligeanta	inttelligeanta	a
intensiiva	inttensijva	a
intentionála	inttentionála	a
inter#aktiiva	intter#aktijva	a
inter#aktiivalaš	intter#aktijvalasj	a
inter#legála	intter#legála	a
inter#našonála	intter#nasjunála	a
inter#našunála	intter#nasjunála	a
inter#našunálalaš	intter#nasjunálalasj	a
inter#našuvnnalaš	intter#nasjuvnalasj	a
inter#naššuvnnalaš	intter#nassjuvnalasj	a
inter#nášunála	intter#násjunála	a
inter#psykologalaš	intter#psykulogalasj	a
inter#tekstuála	intter#tekstoála	a
intra#kultuvrralaš	intra#kulltuvrralasj	a
intra#psykologalaš	intra#psykulogalasj	a
intrusiiva	intrusijva	a
ipmilaš	ibmelasj	a
ipmillaš	ibmellasj	a
ipmirdahtti	ibmerdahtte	a
ipmirmeahttun	ibmermeahttun	a
ironalaš	irunalasj	a
ironiijalaš	irunijjalasj	a
ironálaš	irunálasj	a
irrationála	irrationála	a
isitkeahtes	isetkeahtes	a
islamihtalaš	islamihtalasj	a
issoras	issuras	a
ittis	ittes	a
ivdnái	ivnnáj	a
ivdnásaš	ivnnásasj	a
ivnneheapme	ivneheapme	a
ivnniheapme	ivneheapme	a
ivttá	ivtá	a
ivttáš	ivtásj	a
iđalaš	idálasj	a
iđedaš	idedasj	a
jagŋi	jaggŋe	a
jagŋil	jaggŋel	a
jahkas	jahkas	a
jalahas	jaláhas	a
jappas	jappas	a
jarkŋas	jarŋas	a
jassái	jassáj	a
jeageheapme	jiegeheapme	a
jeageleaddjái	jiegeleaddjáj	a
jeagelgeahtes	jiegelgeahtes	a
jeagelha	jiegelha	a
jeagelheapme	jiegelheapme	a
jeagelkeahtes	jiegelkeahtes	a
jeagiheapme	jiegeheapme	a
jeagilheapme	jiegelheapme	a
jeahkalahtes	jiehkalahtes	a
jeahkaleaddjái	jiehkaleaddjáj	a
jeahkálahtes	jæhkálahtes	a
jealahas	jielahas	a
jeavddalaš	jievdalasj	a
jeđđehahtti	jeddehahtte	a
jiegŋái	jieggŋáj	a
jiekŋa#galmmas	jiegŋa#galmas	a
jierpmiheapme	jiermeheapme	a
jiesas	jiesas	a
jiessas	jiessas	a
jietna#vuoigadahtton	jiedna#vuojggadahtton	a
jietnadat#lágalaš	jiednadat#lágálasj	a
jietnasaš	jiednasasj	a
jievjjaheapme	jievjaheapme	a
jievjái	jievjjáj	a
jievttá	jievtá	a
joallu	joallo	a
joatkevaš	joatkevasj	a
joatkkoheapme	joatkkuheapme	a
joavggas	joavgas	a
joavggus	joavgus	a
joggái	jåggåj	a
jognái	jågnåj	a
jogŋái	jåggŋåj	a
joraheapme	jåråheapme	a
jorgalmeahttun	jårggålmeahttun	a
jorggo#buiccas	jårgo#bujtsas	a
jorril	jårrel	a
jotkkolaš	jåtkkulasj	a
jođiheapme	jådeheapme	a
jođoheapme	jåduheapme	a
jođuheapme	jåduheapme	a
jugahahtti	jugáhahtte	a
juogakeahtes	juogakeahtes	a
juogehahtti	juogehahtte	a
juogihahtti	juogehahtte	a
juogoheapme	juoguheapme	a
juohke#beaivválaš	juohke#bæjválasj	a
juohke#beallásaš	juohke#bællásasj	a
juohkelágan	juohkelágan	a
juohkemeahttun	juohkemeahttun	a
juohkešlái	juohkesjláj	a
juohkimeahttun	juohkemeahttun	a
juohkásmeahttun	juohkásmeahttun	a
juolggiheapme	juolgeheapme	a
juollet	juollet	a
juorbbas	juorbas	a
juorbbehas	juorbehas	a
juovvái	juovváj	a
jurddašmeahttun	jurdasjmeahttun	a
juridihkalaš	juredihkalasj	a
juvssahahtti	juvsahahtte	a
jádnil	jáddnel	a
jáffui	jáffuj	a
jáfo#fiinnis	jáfo#fijnes	a
jáhkehahtti	jáhkehahtte	a
jáhketmeahttun	jáhketmeahttun	a
jáhkihahtti	jáhkehahtte	a
jáhkkemeahttun	jáhkkemeahttun	a
jáhkkimeahttun	jáhkkemeahttun	a
jálddos	jáldus	a
jámmis	jámmes	a
jánas	jánás	a
jápmimeahttun	jábmemeahttun	a
jápmán	jábmán	a
jávkameahttun	jávkkameahttun	a
jávrreheapme	jávreheapme	a
jávrriheapme	jávreheapme	a
kapitalisttalaš	kapetalistalasj	a
kardinála	karddenála	a
kataforalaš	katáforalasj	a
katolihkalaš	katulihkalasj	a
kaukasialaš	kaukasialasj	a
kemihkalaš	kemehkalasj	a
kemiijalaš	kemijjalasj	a
kirurgalaš	kirurgalasj	a
kivrosaš	kivrrusasj	a
klassihkalaš	klassehkalasj	a
klimáhtalaš	klimáhtalasj	a
klinalaš	klinálasj	a
knáhpis	knáhpes	a
kollegiála	kållegiála	a
kollektiivvalaš	kållektijvvalasj	a
koloni^alisttalaš	kålune^alestalasj	a
koltálaš	kålltålasj	a
komihkalaš	kåmehkalasj	a
kommersiealla	kåmmersiealla	a
kommersiála	kåmmersiála	a
kommunikatiiva	kåmmunikatijva	a
kommunála	kåmmunála	a
komplementára	kåmplementára	a
kon^stitutionála	kån^stitutionála	a
kon^stitušonála	kån^stitutjonála	a
kon^stitušunála	kån^stitutjunála	a
kon^struktiiva	kån^struktijva	a
kon^struktiivalaš	kån^struktijvalasj	a
kon^struktiivvalaš	kån^struktijvvalasj	a
konkrehta	kånkrehta	a
konkrehtalaš	kånkrehtalasj	a
konsekveanta	kånssekveanta	a
konseptoála	kånsseptoála	a
konseptuála	kånsseptuála	a
konstitušunealla	kånsstetusjunealla	a
kontinentála	kånttenentála	a
kontrastiivvalaš	kåntråstijvvalasj	a
kontroversiealla	kåntruversiealla	a
koreferentiála	kåreferentiála	a
korporatiiva	kårppuratijva	a
kosmehtalaš	kåssmehtalasj	a
kreatiiva	krietijva	a
kreatiivalaš	krietijvalasj	a
kristálla#čuovgat	krisstálla#tjuovggat	a
kristállalaš	krisstállalasj	a
kromáhtalaš	kråmåhtalasj	a
kronalaš	krånålasj	a
kronologalaš	krånulogalasj	a
kruvdnasaš	kruvnnasasj	a
kruvdnosaš	kruvnnusasj	a
kultur#politihkalaš	kulltur#påletihkalasj	a
kultuvrralaš	kulltuvrralasj	a
kuohca	kuohtsa	a
kuonna	kuonna	a
kuorus	kuorus	a
kursiiva	kurssijva	a
kvalitatiivalaš	kvaletatijvalasj	a
kvantitatiiva	kvanttetatijva	a
kvantitatiivalaš	kvanttetatijvalasj	a
kyrillalaš	kyrellalasj	a
labiála	labiála	a
laddjui	laddjuj	a
ladjat	ladjat	a
ladnjil	laddnjel	a
laestadiána	laesstadiána	a
lagabuš	lagábusj	a
lagas	lagás	a
lagat	lagát	a
lagaš	lagasj	a
lahkalas	lahkalas	a
lahkkálas	lahkkálas	a
lastái	lasstáj	a
latnjat	ladnjat	a
lavttis	lavtes	a
laššit	lassjet	a
leabbat	liebbat	a
leahkemeahttun	liehkemeahttun	a
leahkimeahttun	liehkemeahttun	a
leakkas	liekkas	a
leamssas	liemsas	a
leastadialaš	liesstadialasj	a
leatmeahttun	lietmeahttun	a
leavllas	lievlas	a
leavvi	lievve	a
legála	legála	a
leksikográfalaš	leksekográfalasj	a
leksikála	leksekála	a
leksikálalaš	leksekálalasj	a
liberála	liberála	a
liberálalaš	liberálalasj	a
libmii	libbmij	a
liebmái	liebbmáj	a
liehmos	liehmus	a
lievllisteaddji	lievlesteaddje	a
lievvil	lievvel	a
liigi#guhkki	lijgge#guhkke	a
liigi#hearki	lijgge#hierkke	a
lingvistihkalaš	lingvestihkalasj	a
lingvisttalaš	lingvestalasj	a
linjas	linjás	a
livttis	livtes	a
liđbmat	lirmmat	a
liđvvas	lirvas	a
loabmái	loabbmáj	a
loadtja	loadtja	a
loahpalaš	loahpalasj	a
loahppameahttun	loahppameahttun	a
loahtis	loahtes	a
loaktevaš	loaktevasj	a
loamššas	loamsjas	a
loaččis	loattjes	a
loažžat	loadtjat	a
lobiheapme	låbeheapme	a
lobmui	låbbmuj	a
lobálaš	låbålasj	a
logahahtti	lågåhahtte	a
logalaš	lågålasj	a
logihkalaš	lågehkalasj	a
logoforalaš	låguforalasj	a
lohkameahttun	låhkåmeahttun	a
lohtat	låhtåt	a
lojála	låjåla	a
lokála	låkåla	a
lonjas	lånjås	a
losideaddji	låsedeaddje	a
lotkat	låtkåt	a
lotnjat	lådnjåt	a
lovttolaš	låvtulasj	a
loškkas	låsjkås	a
lu#jávrrelaš	lu#jávrelasj	a
luhtolaš	luhtulasj	a
luoddái	luoddáj	a
luodnái	luoddnáj	a
luohpi	luohpe	a
luohtehahtti	luohtehahtte	a
luohtihahtti	luohtehahtte	a
luomus	luomus	a
luonddu#dieđalaš	luondo#diedalasj	a
luonddu#dilálaš	luondo#dilálasj	a
luonddu#vuostásaš	luondo#vuosstásasj	a
luonddulágan	luondulágan	a
luonddulágán	luondulágán	a
luoskkas	luoskas	a
luossa#biebman#friija	luossa#biebbman#frijja	a
luossái	luossáj	a
luottaheapme	luottaheapme	a
luovddalas	luovdalas	a
luođaheapme	luodaheapme	a
luođđái	luoddáj	a
luoškkas	luosjkas	a
lusa#beassameahttun	lusa#biessameahttun	a
luteralaš	luteralasj	a
luvnnja	luvnja	a
luvvil	luvvel	a
luŋkkas	luŋkas	a
lyralaš	lyrálasj	a
lyrihkalaš	lyrehkalasj	a
láfos	láfus	a
lága#fámolaš	lága#fámulasj	a
lága#vuosttas	lága#vuostas	a
lága#vuostásaš	lága#vuosstásasj	a
lágan	lágán	a
lágán	lágán	a
láhka#fámolaš	láhka#fámulasj	a
láhka#čálakeahtes	láhka#tjálákeahtes	a
láhkalágan	láhkalágan	a
láhkalágán	láhkalágán	a
láitimeahttun	lájttemeahttun	a
láittehahtti	lájtehahtte	a
láittihahtti	lájtehahtte	a
lákcái	láktsáj	a
lámas	lámás	a
lámis	lámes	a
lánas	lánás	a
láskko#njuolgat	lásko#njuolggat	a
lávccaheapme	lávttsaheapme	a
lávgalas	lávggalas	a
lávgat	lávggat	a
lávggaheapme	lávgaheapme	a
lávggoheapme	lávguheapme	a
lávgil	lávggel	a
lávlleheapme	lávleheapme	a
lávlliheapme	lávleheapme	a
lávttas	lávtas	a
lávvolágan	lávvulágan	a
lávvolágán	lávvulágán	a
lávžálas	lávttjálas	a
láđas	ládás	a
læstadi^alaš	læsstade^alasj	a
læstadi^olaš	læsstade^ålåsj	a
magihkalaš	magehkalasj	a
magiijalaš	magijjalasj	a
mahtásaš	mahtásasj	a
majestehtalaš	majestehtalasj	a
makkáraš	makkárasj	a
maksimála	maksemála	a
manahahtti	manáhahtte	a
maniheapme	maneheapme	a
mannan#idjasaš	mannan#idjasasj	a
mannosaš	mannusasj	a
marginála	marggenála	a
maritiibma	maretijmma	a
maritiima	maretijma	a
matemáhtalaš	matemáhtalasj	a
materi^alisttalaš	matere^alestalasj	a
matriarkálalaš	matriarkálalasj	a
mađáš	madásj	a
maŋit	maŋet	a
maŋit#vurrosaš	maŋet#vurrusasj	a
maŋŋelaš	maŋŋelasj	a
maŋŋit	maŋŋet	a
meamma	miemma	a
meammas	miemmas	a
mearka#vuđot	mierkka#vudut	a
mearkkahahtti	mierkahahtte	a
mearkkašahtti	mierkatjahtte	a
mearkkašeaddji	mierkatjeaddje	a
mearkkašmeahttun	mierkasjmeahttun	a
mearre#projektionála	mierre#pråjektionála	a
mearre#áigásaš	mierre#ájggásasj	a
mearridan#válddálaš	mierredan#váldálasj	a
mearritmeahttun	mierretmeahttun	a
meavrresgárelágan	mievresgárelágan	a
meađggus	miergus	a
meađmma	mierma	a
medisiinnalaš	medesijnalasj	a
mediála	mediála	a
megalománalaš	megálománalasj	a
mekánalaš	mekánalasj	a
melodramáhtalaš	meludramáhtalasj	a
mentála	menttála	a
mentálalaš	menttálalasj	a
merolaš	merulasj	a
mesolihtalaš	mesulihtalasj	a
meta#gielalaš	meta#gielalasj	a
metaforalaš	metáforalasj	a
metatehtalaš	metátehtalasj	a
meteorologalaš	meteorologalasj	a
metodologalaš	metudologalasj	a
miehte#doaris	miehte#doares	a
miehti#doaris	miehte#doares	a
miehtá#riikasaš	miehtá#rijkkasasj	a
mieiggus	miejgus	a
miel#riegádan	miel#riegádan	a
miela#evttot	miela#evtut	a
mielaid#geassi	mielajd#giesse	a
mielkkiheapme	mielkeheapme	a
miella#giddevaš	miella#giddevasj	a
miella#hápmásaš	miella#hábmásasj	a
miesiheapme	mieseheapme	a
miessái	miessáj	a
mievkkis	mievkes	a
mihtilmas	mihtelmas	a
mihtitmeahttun	mihtetmeahttun	a
miháš	mihásj	a
militearalaš	miletearalasj	a
militánta	miletánta	a
miljovdnasaš	miljjuvnnasasj	a
minimála	minemála	a
minuktasaš	minuktasasj	a
mirkkolaš	mirkulasj	a
moaitimeahttun	moajttemeahttun	a
moaittehahtti	moajtehahtte	a
moakkas	moakkas	a
moalas	målas	a
moalkkas	moalkas	a
moalkás	moalkkás	a
moallái	moalláj	a
moatte#vahkkosaš	moatte#vahkkusasj	a
moattelágan	moattelágan	a
moattelágán	moattelágán	a
moattilágan	moattelágan	a
moattilágán	moattelágán	a
mobiila	måbijla	a
modearna	mådearna	a
mohkeheapme	måhkeheapme	a
mohkiheapme	måhkeheapme	a
mohkkái	måhkkåj	a
mohtorkeahtes	måhturkeahtes	a
mohttái	måhttåj	a
molddas	måldås	a
molsa#eaktolaš	målsså#iektulasj	a
molssa#ektosaš	målså#ektusasj	a
molssa#evttolaš	målså#evtulasj	a
molssolaš	målsulasj	a
momentána	måmentána	a
monemuš#hámat	månemusj#hámát	a
monimuš#hámat	månemusj#hámát	a
monogámalaš	månugámalasj	a
monopollágan	månupollágan	a
monopollágán	månupollágán	a
moralalaš	mårålalasj	a
morfofonologalaš	mårffufonologalasj	a
morfologalaš	mårffulogalasj	a
morfologálaš	mårffulogálasj	a
morrái	mårråj	a
morálalaš	mårålalasj	a
moskkus	måskus	a
mosttas	måstås	a
motoralaš	måturalasj	a
muddosaš	muddusasj	a
muhtehahtekeahtes	muhtehahtekeahtes	a
muhtinlágan	muhtenlágan	a
muhtinlágaš	muhtenlágasj	a
muhtinlágán	muhtenlágán	a
muhtinlágáš	muhtenlágásj	a
muhtunlágan	muhtunlágan	a
muhtunlágaš	muhtunlágasj	a
muhtunlágán	muhtunlágán	a
muhtunlágáš	muhtunlágásj	a
muidui	mujdduj	a
mukkas	mukkas	a
multi#funktionála	mullte#funktionála	a
multi#funkšunála	mullte#funksjunála	a
multi#laterála	mullte#laterála	a
multi#medialaš	mullte#medialasj	a
muohta#vielgat	muohta#vielggat	a
muohtaheapme	muohtaheapme	a
muolddas	muoldas	a
muoldái	muolldáj	a
muoraheapme	muoraheapme	a
muorrái	muorráj	a
muosiheapme	muoseheapme	a
muosvvis	muosvves	a
murtolas	murttulas	a
musihkkalaš	musehkkalasj	a
musikálalaš	musekálalasj	a
muttát	muttát	a
mystihkalaš	mysstehkalasj	a
mytologalaš	mytulogalasj	a
má^ilmmi#viidosaš	má^ilme#vijddusasj	a
máddeleabbo	máddeleabbo	a
mágihkalaš	mágehkalasj	a
mágiijalaš	mágijjalasj	a
mágnehtalaš	mágnehtalasj	a
máhccevaš	máhttsevasj	a
máihlleheapme	májhleheapme	a
máihlliheapme	májhleheapme	a
máilmme#loga	májlmme#lågå	a
máilmmi#loga	májlmme#lågå	a
máinnašuvvon	májnatjuvvon	a
máinniheapme	májneheapme	a
máisttoheapme	májstuheapme	a
máizzas	májtsas	a
málle#gelbbolaš	málle#gelbulasj	a
márke#mearrásaš	márkke#mærrásasj	a
máttibuš	máttebusj	a
máđoheapme	máduheapme	a
máŋga#holddet	máŋgga#håldet	a
máŋgga#bealat	máŋga#bielat	a
máŋgga#beallásaš	máŋga#bællásasj	a
máŋgga#bealálaš	máŋga#bælálasj	a
máŋgga#buolvvat	máŋga#buolvat	a
máŋgga#dieđalaš	máŋga#diedalasj	a
máŋgga#dássásaš	máŋga#dássásasj	a
máŋgga#fágalaš	máŋga#fágálasj	a
máŋgga#geardán	máŋga#gærddán	a
máŋgga#geardásaš	máŋga#gærddásasj	a
máŋgga#ivdnásaš	máŋga#ivnnásasj	a
máŋgga#lágan	máŋga#lágán	a
máŋgga#suorat	máŋga#suorat	a
